"rgn_id","habitat","extent_rank"
1,"seaice_shoreline",104138.25756
2,"seaice_shoreline",1507556.818
3,"seaice_shoreline",386231.0606
4,"seaice_shoreline",1360445.0756
5,"seaice_shoreline",103314.39392
6,"seaice_shoreline",6875
8,"seaice_shoreline",224450.75756
9,"seaice_shoreline",305104.16668
