"zone","avg3yr_2005","avg3yr_2006","avg3yr_2007","avg3yr_2008","avg3yr_2009","avg3yr_2010","avg3yr_2011","avg3yr_2012","avg3yr_2013","avg3yr_2014","avg3yr_2015","Reference_avg1979to2000monthlypixels","pctdevR_2005","pctdevR_2006","pctdevR_2007","pctdevR_2008","pctdevR_2009","pctdevR_2010","pctdevR_2011","pctdevR_2012","pctdevR_2013","pctdevR_2014","pctdevR_2015","Trend_2007to2011_pctdevRperyr","Trend_2008to2012_pctdevRperyr","Trend_2009to2013_pctdevRperyr","Trend_2010to2014_pctdevRperyr","Trend_2011to2015_pctdevRperyr","pole"
0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n"
1,438,454.333333333333,452,451.333333333333,436,436,423.666666666667,431.666666666667,436.333333333333,437.666666666667,427.666666666667,499.863636363636,0.876238974265709,0.908914552453699,0.904246612712558,0.90291291564366,0.872237883059016,0.872237883059016,0.847564487284411,0.863568852111182,0.872904731593465,0.87557212573126,0.855566669697796,-0.0159292035398252,-0.0114475627769573,-0.000840978593272188,0.00366972477064127,0.0033044846577498,"n"
2,7180.66666666667,7052.33333333333,6947.33333333333,6923.33333333333,7049.33333333333,7052,6995.33333333333,6879.33333333333,6950,7046,7126.66666666667,7236.27272727273,0.99231564885656,0.974580920195815,0.960070687655205,0.956754063074494,0.974166342123226,0.974534855965527,0.966703936816627,0.950673584676524,0.960439201497506,0.973705699820349,0.984853243549961,0.00323385471643836,-0.00205103514684653,-0.00526763760166462,-0.000813008130081586,0.00613742494996682,"n"
3,1855,1841.33333333333,1794.33333333333,1756.33333333333,1762,1724,1716.33333333333,1666.66666666667,1730.33333333333,1754,1779.33333333333,1853.90909090909,1.00058843720885,0.993216626620245,0.96786479020579,0.947367560764314,0.95042416515471,0.929926935713235,0.925791529773288,0.899001291292764,0.933343140620147,0.946108958956505,0.959773778584155,-0.0104960059446416,-0.0128107800341624,-0.00684827847143393,0.00429234338747008,0.0124295979801907,"n"
4,6212,6084.66666666667,5889.33333333333,5856,5800.66666666667,5853.66666666667,5760,5602,5586.33333333333,5713.66666666667,5799.33333333333,6530.13636363636,0.951281819257568,0.931782481687468,0.901869885310298,0.896765346679382,0.88829181255206,0.896408028975217,0.882064275422343,0.857868762311799,0.855469629155268,0.874968966725369,0.888087631006824,-0.00443174100067973,-0.00936930783242271,-0.0117285369497761,-0.00775012812482191,0.00330439814814828,"n"
5,455,376,322.333333333333,320.666666666667,367.333333333333,390.666666666667,379,317,285,277,300.666666666667,495.909090909091,0.917506874427131,0.75820348304308,0.649984723495264,0.646623892453407,0.74072716162542,0.787778796211427,0.764252978918423,0.63923006416132,0.574702108157654,0.558570119156737,0.606293919951115,0.0568769389865636,0.00135135135135052,-0.0648820326678783,-0.0822525597269551,-0.0518909410729994,"n"
6,20,19.3333333333333,17.6666666666667,16.6666666666667,15.6666666666667,15.3333333333333,16.6666666666667,15,14,9.66666666666667,12.6666666666667,33,0.606060606060606,0.585858585858586,0.535353535353535,0.505050505050505,0.474747474747475,0.464646464646465,0.505050505050505,0.454545454545455,0.424242424242424,0.292929292929293,0.383838383838384,-0.018867924528302,-0.0140000000000001,-0.0234042553191495,-0.0913043478260748,-0.0800000000000011,"n"
7,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n"
8,884.666666666667,897.666666666667,903.666666666667,918,916,891.333333333333,861.333333333333,860,881,881,909.333333333333,1077.36363636364,0.821140269456867,0.833206761736,0.838775912018676,0.852079993249515,0.850223609821956,0.827328214215397,0.799482462802014,0.798244873850308,0.817736899839676,0.817736899839676,0.844035665063427,-0.0123201770564393,-0.0185911401597679,-0.0110625909752548,-0.000112191473448778,0.0135835913312697,"n"
9,1298.66666666667,1361.66666666667,1395.66666666667,1410.33333333333,1390,1347.33333333333,1379,1395.66666666667,1410,1372,1379.33333333333,1464.5,0.886764538522818,0.929782633435757,0.952998748150677,0.963013542733584,0.949129395698191,0.919995447820644,0.941618299761011,0.952998748150677,0.96278593376579,0.936838511437351,0.941845908728804,-0.00690231669453184,-0.00285984400850852,0.00635491606714658,0.00596239485403273,-0.00166787527193627,"n"
10,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n"
