rgn_id,sector,year,usd
9,transport,2008,13540420.85
9,fishing,2009,13636782.43
9,tourism,2009,11864165.61
9,transport,2009,13603803.51
9,fishing,2010,13161584.64
9,tourism,2010,11986512.17
9,transport,2010,13323930.17
9,fishing,2011,15164162.22
9,tourism,2011,10587042.59
9,transport,2011,14469350.75
9,fishing,2012,12831136.7
9,tourism,2012,9200220.755
9,transport,2012,11519873.62
9,fishing,2013,14179016.16
9,tourism,2013,9049356.763
9,transport,2013,9853583.024
