X,rgn_id,pressure_score
154,1,0.00623263659409471
203,2,0.00206212349124595
203,3,0.00206212349124595
70,4,0.00152663722254487
208,5,0.00250389081609498
208,6,0.00250389081609498
208,7,0.00250389081609498
137,8,6.564755722874e-07
137,9,6.564755722874e-07
