rgn_id,score
1,-0.117363909360939
2,-0.10886062765473
3,-0.10886062765473
4,-0.101655609115733
5,-0.0959772367129453
6,-0.0959772367129453
7,-0.0959772367129453
8,-0.0561281168367036
9,-0.0561281168367036
