rgn_id,sector,year,value
1,ph,2002,53255.8871972935
1,ph,2003,47689.3529647436
1,ph,2004,35860.6158742878
1,ph,2005,34976.812900641
1,ph,2006,36774.2220886752
1,ph,2007,39874.3406116454
1,sb,2002,33565.349002849
1,sb,2003,37677.9235665954
1,sb,2004,35236.9708199785
1,sb,2005,35655.7686743235
1,sb,2007,36352.9814369658
1,tour,2002,68875.4298544337
1,tour,2003,69519.323973914
1,tour,2004,70453.1611689814
1,tour,2005,70969.5679754274
1,tour,2006,38298.7961293625
1,tour,2007,76664.9778534545
1,tran,2002,105286.327568555
1,tran,2003,113241.458555912
1,tran,2004,109827.059406161
1,tran,2005,103612.517528045
1,tran,2006,110409.537203971
1,tran,2007,107840.988637375
2,cf,2003,18890.2396612358
2,cf,2004,19213.3775151352
2,cf,2005,19887.712005876
2,cf,2006,26020.1433404558
2,cf,2007,35464.5265758547
2,cf,2008,29320.9440660613
2,ph,2002,15095.1508524751
2,ph,2004,19506.0402199075
2,ph,2005,43438.5934161324
2,ph,2006,39131.5076344374
2,ph,2007,34343.040531517
2,ph,2008,37635.8868634258
2,sb,1997,18812.6933649395
2,sb,2005,21789.0541533119
2,tour,2003,50923.739093661
2,tour,2004,61978.5684873574
2,tour,2005,62888.3727853453
2,tour,2006,67367.0066550927
2,tour,2007,78447.2197182159
2,tour,2008,79921.5119190706
4,tour,2004,8381.73960280894
4,tour,2005,10643.9132473068
4,tour,2007,16542.3834385016
4,tran,2004,4672.32867727253
4,tran,2005,5419.23257767984
4,tran,2007,11998.9580551104
5,tour,2006,26743.4506321225
5,tour,2007,30896.0280893875
5,tour,2008,33177.2280092593
5,tran,2006,79823.2060185185
5,tran,2007,95590.9232549858
5,tran,2008,103962.534499644
