"rgn_id","product","year","tonnes"
1,"shells",1983,3801.9375
1,"shells",1984,3721.96875
1,"shells",1985,3790.21875
1,"shells",1986,3897.671875
1,"shells",1987,4072.6734375
1,"shells",1988,4245.0171875
1,"shells",1989,4308.1421875
1,"shells",1990,3247.98815789474
1,"shells",1991,2760.5
1,"shells",1992,2239.78947368421
1,"shells",1993,1449.06578947368
1,"shells",1994,1380.23333333333
1,"shells",1995,1450.64895833333
1,"shells",1996,1261.4188172043
1,"shells",1997,1534.37426470588
1,"shells",1998,1387.26985294118
1,"shells",1999,1104.36219512195
1,"shells",2000,832.471
1,"shells",2001,669.635691823899
1,"shells",2002,681.400446428571
1,"shells",2003,721.509463276836
1,"shells",2004,676.740234375
1,"shells",2005,800.711519607843
1,"shells",2006,975.621323529412
1,"shells",2007,1106.52321428571
1,"shells",2008,1235.495
1,"shells",2009,1075.23583333333
1,"shells",2010,953.895
1,"shells",2011,842.995357142857
1,"sponges",1976,13.3
1,"sponges",1977,12.0218586020852
1,"sponges",1978,11.5403745243601
1,"sponges",1979,11.0295237908824
1,"sponges",1980,11.3348809337396
1,"sponges",1981,10.3104787639895
1,"sponges",1982,10.0310343195451
1,"sponges",1983,9.40833333333333
1,"sponges",1984,9.16333333333333
1,"sponges",1985,9.24833333333333
1,"sponges",1986,9.3
1,"sponges",1987,9.2
1,"sponges",1988,10.265
1,"sponges",1989,10.5649770149013
1,"sponges",1990,20.0737931058819
1,"sponges",1991,18.0988980531965
1,"sponges",1992,20.4895689676466
1,"sponges",1993,29.5114583333333
1,"sponges",1994,31.7283901189355
1,"sponges",1995,32.7630194309223
1,"sponges",1996,30.790264343313
1,"sponges",1997,30.2056347380763
1,"sponges",1998,28.6235745282416
1,"sponges",1999,36.0857386067232
1,"sponges",2000,46.1287136570522
1,"sponges",2001,43.7714285714286
1,"sponges",2002,43.0066666666667
1,"sponges",2003,37.9329054087957
1,"sponges",2004,30.4452894296639
1,"sponges",2005,26.5731087184346
1,"sponges",2006,21.6508335666838
1,"sponges",2007,97.2053889478825
1,"sponges",2008,186.336218432563
1,"sponges",2009,285.735236116491
1,"sponges",2010,370.190740740741
1,"sponges",2011,371.189351851852
2,"corals",1976,113.42
2,"corals",1977,120.42
2,"corals",1978,147.82
2,"corals",1979,172.77
2,"corals",1980,221.165
2,"corals",1981,188.733333333333
2,"corals",1982,179.3125
2,"corals",1983,157.516666666667
2,"corals",1984,120.141666666667
2,"corals",1985,114.433333333333
2,"corals",1986,85.2666666666667
2,"corals",1987,59.9333333333333
2,"corals",1988,38.3041666666667
2,"corals",1989,19.675
2,"corals",1990,1708.63026315789
2,"corals",1991,1592.06904761905
2,"corals",1992,1560.23333333333
2,"corals",1993,1617.63297101449
2,"corals",1994,1178.39234428906
2,"corals",1995,1126.438242394
2,"corals",1996,1029.22178909233
2,"corals",1997,981.509198986033
2,"corals",1998,793.310011656719
2,"corals",1999,709.869672639764
2,"corals",2000,689.462708722179
2,"corals",2001,750.044552486351
2,"corals",2002,782.708396866151
2,"corals",2003,787.57661602964
2,"corals",2004,770.588307763424
2,"corals",2005,729.171856654633
2,"corals",2006,700.501350158262
2,"corals",2007,718.981049895762
2,"corals",2008,681.049686855762
2,"corals",2009,626.39622700746
2,"corals",2010,593.758826015998
2,"corals",2011,558.483086602189
2,"fish_oil",1976,14498.7378378378
2,"fish_oil",1977,14257.9013157895
2,"fish_oil",1978,15004.6435897436
2,"fish_oil",1979,14333.3273255814
2,"fish_oil",1980,14447.672826087
2,"fish_oil",1981,15060.859751773
2,"fish_oil",1982,14488.4678571429
2,"fish_oil",1983,14250.4346666667
2,"fish_oil",1984,14985.2802287582
2,"fish_oil",1985,15899.6977564103
2,"fish_oil",1986,16378.2233974359
2,"fish_oil",1987,15574.2157407407
2,"fish_oil",1988,14793.5731818182
2,"fish_oil",1989,13913.5863636364
2,"fish_oil",1990,13637.398030303
2,"fish_oil",1991,13055.1004385965
2,"fish_oil",1992,10815.535483871
2,"fish_oil",1993,10028.2596354167
2,"fish_oil",1994,10446.0425373134
2,"fish_oil",1995,11179.6531400966
2,"fish_oil",1996,12180.429047619
2,"fish_oil",1997,12195.2907407407
2,"fish_oil",1998,10297.6077625571
2,"fish_oil",1999,9020.91474358974
2,"fish_oil",2000,8884.65364583333
2,"fish_oil",2001,8761.35395537892
2,"fish_oil",2002,9087.7163614924
2,"fish_oil",2003,8856.92998396682
2,"fish_oil",2004,8226.97945884629
2,"fish_oil",2005,7988.16029411765
2,"fish_oil",2006,8565.76137254902
2,"fish_oil",2007,9123.97911764706
2,"fish_oil",2008,9349.69418604651
2,"fish_oil",2009,10121.9752906977
2,"fish_oil",2010,10469.0072674419
2,"fish_oil",2011,10638.9052325581
2,"ornamentals",1976,542.655173054384
2,"ornamentals",1977,463.172567097432
2,"ornamentals",1978,439.845989642189
2,"ornamentals",1979,421.609946486207
2,"ornamentals",1980,399.605928972478
2,"ornamentals",1981,371.003415753039
2,"ornamentals",1982,357.883940170166
2,"ornamentals",1983,343.745168041107
2,"ornamentals",1984,302.675343191193
2,"ornamentals",1985,284.612495148512
2,"ornamentals",1986,272.377201345451
2,"ornamentals",1987,270.826246610533
2,"ornamentals",1988,214.231444660196
2,"ornamentals",1989,208.690365760879
2,"ornamentals",1990,209.760427311372
2,"ornamentals",1991,283.93593947223
2,"ornamentals",1992,276.967480984012
2,"ornamentals",1993,279.851741315415
2,"ornamentals",1994,286.867327156732
2,"ornamentals",1995,292.498817275045
2,"ornamentals",1996,314.029589728251
2,"ornamentals",1997,334.197914250868
2,"ornamentals",1998,338.002648431083
2,"ornamentals",1999,314.828039138238
2,"ornamentals",2000,285.987010427585
2,"ornamentals",2001,273.452052677779
2,"ornamentals",2002,278.188074411637
2,"ornamentals",2003,296.376440565339
2,"ornamentals",2004,309.840475822311
2,"ornamentals",2005,334.443146517258
2,"ornamentals",2006,346.782761450866
2,"ornamentals",2007,356.490727925976
2,"ornamentals",2008,362.505058536007
2,"ornamentals",2009,352.364705969646
2,"ornamentals",2010,351.661402307304
2,"ornamentals",2011,349.120792922822
2,"seaweeds",1976,508.686592362436
2,"seaweeds",1977,520.043296181218
2,"seaweeds",1978,483.328864120812
2,"seaweeds",1979,473.821648090609
2,"seaweeds",1980,494.9479371853
2,"seaweeds",1981,829.801345261275
2,"seaweeds",1982,828.860548406783
2,"seaweeds",1983,776.397086051743
2,"seaweeds",1984,759.312873131299
2,"seaweeds",1985,1296.22072806308
2,"seaweeds",1986,1237.84556618518
2,"seaweeds",1987,1423.01559787289
2,"seaweeds",1988,2095.07376118718
2,"seaweeds",1989,2325.93993249412
2,"seaweeds",1990,4329.46468813131
2,"seaweeds",1991,4842.29615639158
2,"seaweeds",1992,4713.62747676094
2,"seaweeds",1993,4512.0562426385
2,"seaweeds",1994,4043.44842016619
2,"seaweeds",1995,3966.86131594594
2,"seaweeds",1996,4034.97391536761
2,"seaweeds",1997,4061.01593567251
2,"seaweeds",1998,3436.7291025641
2,"seaweeds",1999,3519.91477272727
2,"seaweeds",2000,3349.19776995305
2,"seaweeds",2001,3479.20382705234
2,"seaweeds",2002,3660.114565679
2,"seaweeds",2003,3570.04592876876
2,"seaweeds",2004,3544.44787420534
2,"seaweeds",2005,3648.25479652306
2,"seaweeds",2006,3735.39722873883
2,"seaweeds",2007,3830.92838542265
2,"seaweeds",2008,3861.90431641084
2,"seaweeds",2009,3945.07575077981
2,"seaweeds",2010,4127.40625433868
2,"seaweeds",2011,4532.77707682152
2,"shells",1976,4436.28571428571
2,"shells",1977,4554
2,"shells",1978,4589.80952380952
2,"shells",1979,4648.46428571429
2,"shells",1980,4610.89285714286
2,"shells",1981,4225.35
2,"shells",1982,3973.625
2,"shells",1983,3801.9375
2,"shells",1984,3721.96875
2,"shells",1985,3790.21875
2,"shells",1986,3897.671875
2,"shells",1987,4072.6734375
2,"shells",1988,4245.0171875
2,"shells",1989,4308.1421875
2,"shells",1990,3247.98815789474
2,"shells",1991,2760.5
2,"shells",1992,2239.78947368421
2,"shells",1993,1449.06578947368
2,"shells",1994,1380.23333333333
2,"shells",1995,1450.64895833333
2,"shells",1996,1261.4188172043
2,"shells",1997,1534.37426470588
2,"shells",1998,1387.26985294118
2,"shells",1999,1104.36219512195
2,"shells",2000,832.471
2,"shells",2001,669.635691823899
2,"shells",2002,681.400446428571
2,"shells",2003,721.509463276836
2,"shells",2004,676.740234375
2,"shells",2005,800.711519607843
2,"shells",2006,975.621323529412
2,"shells",2007,1106.52321428571
2,"shells",2008,1235.495
2,"shells",2009,1075.23583333333
2,"shells",2010,953.895
2,"shells",2011,842.995357142857
2,"sponges",1976,13.3
2,"sponges",1977,12.0218586020852
2,"sponges",1978,11.5403745243601
2,"sponges",1979,11.0295237908824
2,"sponges",1980,11.3348809337396
2,"sponges",1981,10.3104787639895
2,"sponges",1982,10.0310343195451
2,"sponges",1983,9.40833333333333
2,"sponges",1984,9.16333333333333
2,"sponges",1985,9.24833333333333
2,"sponges",1986,9.3
2,"sponges",1987,9.2
2,"sponges",1988,10.265
2,"sponges",1989,10.5649770149013
2,"sponges",1990,20.0737931058819
2,"sponges",1991,18.0988980531965
2,"sponges",1992,20.4895689676466
2,"sponges",1993,29.5114583333333
2,"sponges",1994,31.7283901189355
2,"sponges",1995,32.7630194309223
2,"sponges",1996,30.790264343313
2,"sponges",1997,30.2056347380763
2,"sponges",1998,28.6235745282416
2,"sponges",1999,36.0857386067232
2,"sponges",2000,46.1287136570522
2,"sponges",2001,43.7714285714286
2,"sponges",2002,43.0066666666667
2,"sponges",2003,37.9329054087957
2,"sponges",2004,30.4452894296639
2,"sponges",2005,26.5731087184346
2,"sponges",2006,21.6508335666838
2,"sponges",2007,97.2053889478825
2,"sponges",2008,186.336218432563
2,"sponges",2009,285.735236116491
2,"sponges",2010,370.190740740741
2,"sponges",2011,371.189351851852
3,"corals",1976,113.42
3,"corals",1977,120.42
3,"corals",1978,147.82
3,"corals",1979,172.77
3,"corals",1980,221.165
3,"corals",1981,188.733333333333
3,"corals",1982,179.3125
3,"corals",1983,157.516666666667
3,"corals",1984,120.141666666667
3,"corals",1985,114.433333333333
3,"corals",1986,85.2666666666667
3,"corals",1987,59.9333333333333
3,"corals",1988,38.3041666666667
3,"corals",1989,19.675
3,"corals",1990,1708.63026315789
3,"corals",1991,1592.06904761905
3,"corals",1992,1560.23333333333
3,"corals",1993,1617.63297101449
3,"corals",1994,1178.39234428906
3,"corals",1995,1126.438242394
3,"corals",1996,1029.22178909233
3,"corals",1997,981.509198986033
3,"corals",1998,793.310011656719
3,"corals",1999,709.869672639764
3,"corals",2000,689.462708722179
3,"corals",2001,750.044552486351
3,"corals",2002,782.708396866151
3,"corals",2003,787.57661602964
3,"corals",2004,770.588307763424
3,"corals",2005,729.171856654633
3,"corals",2006,700.501350158262
3,"corals",2007,718.981049895762
3,"corals",2008,681.049686855762
3,"corals",2009,626.39622700746
3,"corals",2010,593.758826015998
3,"corals",2011,558.483086602189
3,"fish_oil",1976,14498.7378378378
3,"fish_oil",1977,14257.9013157895
3,"fish_oil",1978,15004.6435897436
3,"fish_oil",1979,14333.3273255814
3,"fish_oil",1980,14447.672826087
3,"fish_oil",1981,15060.859751773
3,"fish_oil",1982,14488.4678571429
3,"fish_oil",1983,14250.4346666667
3,"fish_oil",1984,14985.2802287582
3,"fish_oil",1985,15899.6977564103
3,"fish_oil",1986,16378.2233974359
3,"fish_oil",1987,15574.2157407407
3,"fish_oil",1988,14793.5731818182
3,"fish_oil",1989,13913.5863636364
3,"fish_oil",1990,13637.398030303
3,"fish_oil",1991,13055.1004385965
