rgn_id,product,weight
1,corals,0.081265903307888
1,fish_oil,0.613624859777285
1,ornamentals,0.0884942132479685
1,seaweeds,0.164260650086186
1,sponges,0.0523543735806725
2,corals,0.0255325166419634
2,fish_oil,0.710369606092189
2,ornamentals,0.00266585660938654
2,seaweeds,0.254492413569158
2,sponges,0.00693960708730288
3,corals,0.0255325166419634
3,fish_oil,0.710369606092189
3,ornamentals,0.00266585660938654
3,seaweeds,0.254492413569158
3,sponges,0.00693960708730288
4,corals,0.103863204559848
4,fish_oil,0.405530926746886
4,seaweeds,0.387587080430652
4,sponges,0.103018788262613
5,corals,0.0038452536820594
5,fish_oil,0.973804419592885
5,ornamentals,1.86935035588692e-07
5,seaweeds,0.0223125658478663
5,sponges,3.75739421533271e-05
6,corals,0.0038452536820594
6,fish_oil,0.973804419592885
6,ornamentals,1.86935035588692e-07
6,seaweeds,0.0223125658478663
6,sponges,3.75739421533271e-05
7,corals,0.0038452536820594
7,fish_oil,0.973804419592885
7,ornamentals,1.86935035588692e-07
7,seaweeds,0.0223125658478663
7,sponges,3.75739421533271e-05
8,corals,0.999115826702034
8,fish_oil,0.000884173297966401
9,corals,0.999115826702034
9,fish_oil,0.000884173297966401
