rgn_id,count,year
6,4405157,1997
6,4431464,1998
6,4461913,1999
6,4490967,2000
6,4513751,2001
6,4538159,2002
6,4564855,2003
6,4591910,2004
6,4623291,2005
6,4660677,2006
6,4709153,2007
6,4768212,2008
6,4828726,2009
6,4889252,2010
6,4953088,2011
6,5018869,2012
7,3581239,1960
7,3609800,1961
7,3638918,1962
7,3666537,1963
7,3694339,1964
7,3723168,1965
7,3753012,1966
7,3784539,1967
7,3816486,1968
7,3847707,1969
7,3875763,1970
7,3903039,1971
7,3933004,1972
7,3960612,1973
7,3985258,1974
7,4007313,1975
7,4026152,1976
7,4043205,1977
7,4058671,1978
7,4072517,1979
7,4085620,1980
7,4099702,1981
7,4114787,1982
7,4128432,1983
7,4140099,1984
7,4152516,1985
7,4167354,1986
7,4186905,1987
7,4209488,1988
7,4226901,1989
7,4241473,1990
7,4261732,1991
7,4286401,1992
7,4311991,1993
7,4336613,1994
7,4359184,1995
7,4381336,1996
7,4405157,1997
7,4431464,1998
7,4461913,1999
7,4490967,2000
7,4513751,2001
7,4538159,2002
7,4564855,2003
7,4591910,2004
7,4623291,2005
7,4660677,2006
7,4709153,2007
7,4768212,2008
7,4828726,2009
7,4889252,2010
7,4953088,2011
7,5018869,2012
8,32500,1960
8,33700,1961
8,35000,1962
8,36400,1963
8,37600,1964
8,39200,1965
8,40500,1966
8,41900,1967
8,43400,1968
8,44900,1969
8,46400,1970
8,47200,1971
8,48300,1972
8,49000,1973
8,49500,1974
8,49600,1975
8,49700,1976
8,49400,1977
8,49200,1978
8,49600,1979
8,50200,1980
8,51000,1981
8,51500,1982
8,52100,1983
8,52700,1984
8,53200,1985
8,53500,1986
8,54100,1987
8,54800,1988
8,55300,1989
8,55600,1990
8,55500,1991
8,55300,1992
8,55200,1993
8,55500,1994
8,55800,1995
8,55900,1996
8,56000,1997
8,56100,1998
8,56100,1999
8,56200,2000
8,56350,2001
8,56609,2002
8,56765,2003
8,56911,2004
8,56935,2005
8,56774,2006
8,56555,2007
8,56328,2008
