"rgn_id","trend"
1,-0.00258512330139519
2,-0.00258512330139519
3,-0.00258512330139519
4,-0.00258512330139519
5,-0.00258512330139519
6,-0.00258512330139519
7,-0.00258512330139519
8,-0.00258512330139519
9,-0.00258512330139519
