"rgn_id","product","year","tonnes_rel"
1,"shells",1976,0.504735187279516
1,"shells",1977,0.537992677039661
1,"shells",1978,0.553661350460482
1,"shells",1979,0.609397001066165
1,"shells",1980,0.627850064458105
1,"shells",1981,0.67163195325514
1,"shells",1982,0.684306569436008
1,"shells",1983,0.633254630480252
1,"shells",1984,0.610815842322334
1,"shells",1985,0.602753781744315
1,"shells",1986,0.659521904169165
1,"shells",1987,0.675798731132005
1,"shells",1988,0.681566933736361
1,"shells",1989,0.707442626517038
1,"shells",1990,0.676167328958072
1,"shells",1991,0.622560650968381
1,"shells",1992,0.505690380565517
1,"shells",1993,0.444728166416084
1,"shells",1994,0.458269935591183
1,"shells",1995,0.412781058987816
1,"shells",1996,0.461118673814671
1,"shells",1997,0.501240783262138
1,"shells",1998,0.482772419617078
1,"shells",1999,0.511880716083626
1,"shells",2000,0.469822876271121
1,"shells",2001,0.449423724639341
1,"shells",2002,0.455230895433204
1,"shells",2003,0.475041064450487
1,"shells",2004,0.521952598899101
1,"shells",2005,0.534315476745076
1,"shells",2006,0.555183583434541
1,"shells",2007,0.57375983324951
1,"shells",2008,0.523935580802898
1,"shells",2009,0.539288914787254
1,"shells",2010,0.56221150529277
1,"shells",2011,0.531814670809856
1,"sponges",1976,0.268512428170582
1,"sponges",1977,0.237802798041826
1,"sponges",1978,0.215471015239035
1,"sponges",1979,0.223052811886479
1,"sponges",1980,0.23482141246791
1,"sponges",1981,0.216842689099176
1,"sponges",1982,0.204209402353326
1,"sponges",1983,0.184508546366278
1,"sponges",1984,0.172522085173605
1,"sponges",1985,0.174963237912171
1,"sponges",1986,0.190025479433166
1,"sponges",1987,0.200490510099553
1,"sponges",1988,0.238044081920996
1,"sponges",1989,0.24283099971393
1,"sponges",1990,0.25393720199915
1,"sponges",1991,0.331903577129713
1,"sponges",1992,0.330672648425001
1,"sponges",1993,0.387381597213376
1,"sponges",1994,0.525667823329307
1,"sponges",1995,0.485781133724828
1,"sponges",1996,0.465706189859795
1,"sponges",1997,0.487160387783677
1,"sponges",1998,0.456652262921579
1,"sponges",1999,0.481944414131296
1,"sponges",2000,0.486662601688395
1,"sponges",2001,0.479542047319662
1,"sponges",2002,0.491604142163897
1,"sponges",2003,0.523448298221175
1,"sponges",2004,0.513267772939977
1,"sponges",2005,0.483837095237871
1,"sponges",2006,0.480340260958809
1,"sponges",2007,0.434032647768804
1,"sponges",2008,0.402980813242608
1,"sponges",2009,0.358040117251808
1,"sponges",2010,0.329708300293961
1,"sponges",2011,0.284903969004038
2,"corals",1976,0.476955890576678
2,"corals",1977,0.445435546438048
2,"corals",1978,0.580233420373928
2,"corals",1979,0.60201746197029
2,"corals",1980,0.641127479130399
2,"corals",1981,0.692451182967206
2,"corals",1982,0.61737157646975
2,"corals",1983,0.468670762514866
2,"corals",1984,0.445063699539059
2,"corals",1985,0.426199814023707
2,"corals",1986,0.415842313199989
2,"corals",1987,0.405833908254429
2,"corals",1988,0.399549792165362
2,"corals",1989,0.373593217018146
2,"corals",1990,0.402513066740932
2,"corals",1991,0.410517594978244
2,"corals",1992,0.413032841942859
2,"corals",1993,0.391057015046459
2,"corals",1994,0.401555355496444
2,"corals",1995,0.424774973868209
2,"corals",1996,0.48394346793928
2,"corals",1997,0.518359887882894
2,"corals",1998,0.593129353443469
2,"corals",1999,0.566033946925994
2,"corals",2000,0.515877170623764
2,"corals",2001,0.558605432553349
2,"corals",2002,0.538308006759426
2,"corals",2003,0.551681342348373
2,"corals",2004,0.542929641963285
2,"corals",2005,0.541240360714119
2,"corals",2006,0.515993817388114
2,"corals",2007,0.556259300961363
2,"corals",2008,0.523834368207413
2,"corals",2009,0.465030595034891
2,"corals",2010,0.43011817890876
2,"corals",2011,0.344256205007407
2,"fish_oil",1976,0.477383918954238
2,"fish_oil",1977,0.467763045207759
2,"fish_oil",1978,0.498410178264447
2,"fish_oil",1979,0.496748984394106
2,"fish_oil",1980,0.493024088612835
2,"fish_oil",1981,0.520631110524641
2,"fish_oil",1982,0.478932906537965
2,"fish_oil",1983,0.450877544927254
2,"fish_oil",1984,0.418481670850857
2,"fish_oil",1985,0.42701589463516
2,"fish_oil",1986,0.450405832301401
2,"fish_oil",1987,0.444003602495257
2,"fish_oil",1988,0.438549072886731
2,"fish_oil",1989,0.445872103562034
2,"fish_oil",1990,0.446704437317248
2,"fish_oil",1991,0.436518772819279
2,"fish_oil",1992,0.447348961518911
2,"fish_oil",1993,0.452908503229056
2,"fish_oil",1994,0.438495285894025
2,"fish_oil",1995,0.416477896804256
2,"fish_oil",1996,0.396157903295017
