rgn_id,year,jobs
1,1990,125353042.447447
1,1991,125982564.014958
1,1992,128238483.016631
1,1993,129663310.790123
1,1994,132028403.531558
1,1995,133829774.367378
1,1996,135888267.383511
1,1997,138301779.203932
1,1998,140329029.137121
1,1999,142182768.937447
1,2000,144034361.918406
1,2001,145094335.742314
1,2002,145868191.335977
1,2003,146551300.949114
1,2004,147553600.059372
1,2005,149459865.979928
1,2006,151435427.091192
1,2007,152690447.623726
1,2008,154401841.369211
1,2009,154563524.49914
1,2010,154136411.560343
1,2011,154248265.03802
1,2012,155343256.656179
2,1990,14720069.8601399
2,1991,14818793.3775502
2,1992,14781957.686685
2,1993,14883753.4620761
2,1994,14994997.6867936
2,1995,15049052.2936191
2,1996,15197743.0671252
2,1997,15449638.2301962
2,1998,15706995.845505
2,1999,15990999.1523455
2,2000,16240678.6835041
2,2001,16490512.0248666
2,2002,16930250.6632582
2,2003,17344157.4046936
2,2004,17583498.1482081
2,2005,17716113.520988
2,2006,17925315.3418581
2,2007,18318195.4040441
2,2008,18648747.5810654
2,2009,18785081.3169733
2,2010,18984515.2231103
2,2011,19144603.3122015
2,2012,19341079.2423086
4,1990,76777449.8196337
4,1991,75960798.2617844
4,1992,74967755.3009278
4,1993,72773205.3068389
4,1994,70393822.1169949
4,1995,70495354.3704125
4,1996,69500147.5937299
4,1997,68056606.4290921
4,1998,67354105.2198045
4,1999,72036238.0266758
4,2000,72642522.0383004
4,2001,71517451.9424324
4,2002,72520475.5789266
4,2003,73946440.7817226
4,2004,74660648.7471081
4,2005,75164140.1650294
4,2006,75321726.95114
4,2007,76336910.5120182
4,2008,76646573.0126284
4,2009,76440417.5652003
4,2010,76320395.9361436
4,2011,76906078.0888818
4,2012,77062828.345926
5,1990,2169322.44374013
5,1991,2144917.96908006
5,1992,2144731.45043402
5,1993,2143503.14792848
5,1994,2165567.74762927
5,1995,2197230.88394981
5,1996,2257199.8245855
5,1997,2308031.85253555
5,1998,2346876.88620718
5,1999,2356972.29627997
5,2000,2374610.2046576
5,2001,2383014.69039084
5,2002,2404395.08708759
5,2003,2395348.69421522
5,2004,2409240.96708632
5,2005,2426167.74278955
5,2006,2454507.66775649
5,2007,2516076.42030952
5,2008,2592052.40666798
5,2009,2595142.13114833
5,2010,2608239.8020217
5,2011,2633450.15131044
5,2012,2674699.63949365
8,1990,111021.219828259
8,1991,110547.419450166
8,1992,109453.124528159
8,1993,108651.559802251
8,1994,108578.878021582
8,1995,108504.669297186
8,1996,109144.490182999
8,1997,109638.580584282
8,1998,109744.856035874
8,1999,111013.234143618
8,2000,111841.760909965
8,2001,112001.427299216
8,2002,113084.799869975
8,2003,114032.067789707
8,2004,114890.491718403
8,2005,115878.717034095
8,2006,117719.992239272
8,2007,118113.025304685
8,2008,119569.584291416
8,2009,120021.755340031
8,2010,120357.103176859
8,2011,121290.284315428
8,2012,122571.268244823
