rgn_id,year,value
1,1990,0.319503190963347
1,1991,0.329896897170766
1,1992,0.343952065678223
1,1993,0.362927546073492
1,1994,0.367174827029178
1,1995,0.367193352423714
1,1996,0.3749712620182
1,1997,0.377814033033932
1,1998,0.41045803399109
1,1999,0.434482059126326
1,2000,0.411859393086698
1,2001,0.410570246060288
1,2002,0.397767019912828
1,2003,0.41066525590547
1,2004,0.386524533783813
1,2005,0.419734367303799
1,2006,0.398591319823153
1,2007,0.405698451849987
1,2008,0.401627004447675
1,2009,0.397760217055014
1,2010,0.387527901510856
1,2011,0.372789058770613
1,2012,0.397953128844487
1,2013,0.403338439786676
2,1990,0.265028939817747
2,1991,0.268280817151585
2,1992,0.273313995546229
2,1993,0.288319554290851
2,1994,0.294789683862726
2,1995,0.295873107439062
2,1996,0.296641273864942
2,1997,0.298472762402576
2,1998,0.324982905626061
2,1999,0.345998816967882
2,2000,0.327540626144928
2,2001,0.330480633050976
2,2002,0.319155808139799
2,2003,0.331487125928097
2,2004,0.310056852233364
2,2005,0.340737726229503
2,2006,0.324944369351003
2,2007,0.331543605304803
2,2008,0.332773072749208
2,2009,0.327907433044091
2,2010,0.320329627349353
2,2011,0.309065540173961
2,2012,0.322361692294024
2,2013,0.327931515948297
3,1990,0.265028939817747
3,1991,0.268280817151585
3,1992,0.273313995546229
3,1993,0.288319554290851
3,1994,0.294789683862726
3,1995,0.295873107439062
3,1996,0.296641273864942
3,1997,0.298472762402576
3,1998,0.324982905626061
3,1999,0.345998816967882
3,2000,0.327540626144928
3,2001,0.330480633050976
3,2002,0.319155808139799
3,2003,0.331487125928097
3,2004,0.310056852233364
3,2005,0.340737726229503
3,2006,0.324944369351003
3,2007,0.331543605304803
3,2008,0.332773072749208
3,2009,0.327907433044091
3,2010,0.320329627349353
3,2011,0.309065540173961
3,2012,0.322361692294024
3,2013,0.327931515948297
4,1990,0.106981940564223
4,1991,0.106137838699715
4,1992,0.0925676719821436
4,1993,0.0880768440727347
4,1994,0.0759022994453751
4,1995,0.0717780889341501
4,1996,0.0688580826672662
4,1997,0.0682460972228024
4,1998,0.0680902810570049
4,1999,0.0741834929352933
4,2000,0.0770791790078253
4,2001,0.081130639805848
4,2002,0.0836004875201988
4,2003,0.0957612827070108
4,2004,0.0944831803669281
4,2005,0.112297062629366
4,2006,0.128530198280217
4,2007,0.141192842513129
4,2008,0.168220798723898
4,2009,0.16491537389188
4,2010,0.164613791481112
4,2011,0.16877175634741
4,2012,0.180725548351213
4,2013,0.183065721496684
5,1990,0.238471605276277
5,1991,0.256254145340113
5,1992,0.269260404860527
5,1993,0.286293837133221
5,1994,0.294397591032713
5,1995,0.300631673672634
5,1996,0.324754763993892
5,1997,0.334526724605171
5,1998,0.34159266392035
5,1999,0.373793802961929
5,2000,0.408543617956414
5,2001,0.40879867770858
5,2002,0.386133033922237
5,2003,0.396222363745885
5,2004,0.391341855181714
5,2005,0.451111917931523
5,2006,0.462555382411717
5,2007,0.470613928121584
5,2008,0.508947132615807
5,2009,0.467991303588334
5,2010,0.462708145383679
5,2011,0.462832324261984
5,2012,0.498557911617651
5,2013,0.496830422612689
6,1990,0.238471605276277
6,1991,0.256254145340113
6,1992,0.269260404860527
6,1993,0.286293837133221
6,1994,0.294397591032713
6,1995,0.300631673672634
6,1996,0.324754763993892
6,1997,0.334526724605171
6,1998,0.34159266392035
6,1999,0.373793802961929
6,2000,0.408543617956414
6,2001,0.40879867770858
6,2002,0.386133033922237
6,2003,0.396222363745885
6,2004,0.391341855181714
6,2005,0.451111917931523
6,2006,0.462555382411717
6,2007,0.470613928121584
6,2008,0.508947132615807
6,2009,0.467991303588334
6,2010,0.462708145383679
6,2011,0.462832324261984
6,2012,0.498557911617651
6,2013,0.496830422612689
