rgn_id,loiczid,proportionArea,csquarecode,cellarea
2,10304.0,0.08,7806:228:3,390.08
2,10305.0,0.16,7806:227:4,390.08
2,10306.0,0.28,7806:227:3,390.08
2,10307.0,0.29,7806:226:4,390.08
2,10308.0,0.18,7806:226:3,390.08
2,10309.0,0.04,7806:225:4,390.08
2,10310.0,0.15,7806:225:3,390.08
2,10311.0,0.16,7806:124:4,390.08
2,10312.0,0.13,7806:124:3,390.08
2,10313.0,0.08,7806:123:4,390.08
2,10314.0,0.23,7806:123:3,390.08
2,10315.0,0.14,7806:122:4,390.08
2,10316.0,0.05,7806:122:3,390.08
2,10317.0,0.02,7806:121:4,390.08
2,10982.0,0.06,7808:229:1,416.83
2,10983.0,0.07,7808:228:2,416.83
2,10984.0,0.08,7808:228:1,416.83
2,10985.0,0.07,7808:227:2,416.83
2,10986.0,0.1,7808:227:1,416.83
2,10987.0,0.3,7808:226:2,416.83
2,10988.0,0.32,7808:226:1,416.83
2,10989.0,0.21,7808:225:2,416.83
2,10990.0,0.15,7808:225:1,416.83
2,10991.0,0.08,7808:124:2,416.83
2,10992.0,0.16,7808:124:1,416.83
2,10993.0,0.09,7808:123:2,416.83
2,10994.0,0.08,7808:123:1,416.83
2,10995.0,0.18,7808:122:2,416.83
2,10996.0,0.19,7808:122:1,416.83
2,10997.0,0.15,7808:121:2,416.83
2,10998.0,0.14,7808:121:1,416.83
2,10999.0,0.06,7808:120:2,416.83
2,11034.0,0.03,7806:123:1,416.83
2,11035.0,0.01,7806:122:2,416.83
2,11036.0,0.05,7806:122:1,416.83
2,11037.0,0.15,7806:121:2,416.83
2,11038.0,0.25,7806:121:1,416.83
2,11039.0,0.05,7806:120:2,416.83
2,11696.0,0.07,7809:112:3,443.54
2,11697.0,0.26,7809:111:4,443.54
2,11698.0,0.21,7809:111:3,443.54
2,11699.0,0.25,7809:110:4,443.54
2,11700.0,0.29,7809:110:3,443.54
2,11701.0,0.26,7808:219:4,443.54
2,11702.0,0.11,7808:219:3,443.54
2,11703.0,0.13,7808:218:4,443.54
2,11704.0,0.08,7808:218:3,443.54
2,11705.0,0.04,7808:217:4,443.54
2,11706.0,0.04,7808:217:3,443.54
2,11707.0,0.03,7808:216:4,443.54
2,11709.0,0.05,7808:215:4,443.54
2,11710.0,0.02,7808:215:3,443.54
2,11711.0,0.08,7808:114:4,443.54
2,11742.0,0.01,7806:219:3,443.54
2,11743.0,0.07,7806:218:4,443.54
2,11744.0,0.06,7806:218:3,443.54
2,11745.0,0.08,7806:217:4,443.54
2,11746.0,0.1,7806:217:3,443.54
