"rgn_id","fao_rgn","Scientific_Name","Common_Name","TaxonKey","tons","year","stock_id"
2,18,"Sebastes","Redfishes",501135,2.48377611121385,1950,"Sebastes-18"
2,18,"Sebastes mentella","Beaked redfish",600505,0.0550288539349027,1950,"Sebastes_mentella-18"
2,18,"Stenodus leucichthys","Sheefish",602692,5.79445037462203,1950,"Stenodus_leucichthys-18"
2,18,"Strongylocentrotus","Sickle-arched sea urchins",590158,0.353435044682402,1950,"Strongylocentrotus-18"
2,18,"Strongylocentrotus droebachiensis","Green sea urchin",690494,0.137698586828188,1950,"Strongylocentrotus_droebachiensis-18"
2,21,"Alepocephalus bairdii","Baird's slickhead",600230,0.00016862639202868,1950,"Alepocephalus_bairdii-21"
2,21,"Anarhichadidae","Wolffishes, wolfeels",400396,1.08708672260804,1950,"Anarhichadidae-21"
2,21,"Anarhichas","Wolffishes",505897,130.699304637757,1950,"Anarhichas-21"
2,21,"Anarhichas denticulatus","Northern wolffish",603810,1.52794032979687,1950,"Anarhichas_denticulatus-21"
2,21,"Anarhichas minor","Spotted wolffish",603811,0.0371451651668752,1950,"Anarhichas_minor-21"
2,21,"Bivalvia","Clams",290004,663.785655612501,1950,"Bivalvia-21"
2,21,"Brachyura","Marine crabs",490097,6.98408513669542,1950,"Brachyura-21"
2,21,"Buccinum undatum","Whelk",690434,450.728792274605,1950,"Buccinum_undatum-21"
2,21,"Busycon","Whelks",590110,301.272334494699,1950,"Busycon-21"
2,21,"Clupea harengus","Atlantic herring",600024,5563.383120843,1950,"Clupea_harengus-21"
2,21,"Cottidae","Sculpins",400277,491.977702045089,1950,"Cottidae-21"
2,21,"Cyclopterus lumpus","Lumpfish",600062,2.47780832360156,1950,"Cyclopterus_lumpus-21"
2,21,"Elasmobranchii","Sharks, rays, skates",200004,9.39430152489077,1950,"Elasmobranchii-21"
2,21,"Gadidae","Cods, haddocks",400183,0.0369139492615261,1950,"Gadidae-21"
2,21,"Gadiformes","Cods",300044,7.42828679091221e-10,1950,"Gadiformes-21"
2,21,"Gadus morhua","Atlantic cod",600069,764.994012964341,1950,"Gadus_morhua-21"
2,21,"Gadus ogac","Greenland cod",600309,77.1380638893677,1950,"Gadus_ogac-21"
2,21,"Glyptocephalus cynoglossus","Witch flounder",600026,0.589268187932396,1950,"Glyptocephalus_cynoglossus-21"
2,21,"Hippoglossus hippoglossus","Atlantic halibut",601371,1.28911970142522,1950,"Hippoglossus_hippoglossus-21"
2,21,"Illex illecebrosus","Northern shortfin squid",690271,0.219722602778253,1950,"Illex_illecebrosus-21"
2,21,"Lycodes","Eelpouts",501486,18.5815521988053,1950,"Lycodes-21"
2,21,"Macrourus berglax","Roughhead grenadier",600331,2.53672662933575,1950,"Macrourus_berglax-21"
2,21,"Mactridae","Mactra surf clams",490063,1689.30869427296,1950,"Mactridae-21"
2,21,"Mactromeris polynyma","Arctic surfclam",690398,1576.96933043091,1950,"Mactromeris_polynyma-21"
2,21,"Mallotus villosus","Capelin",600252,814.643558338281,1950,"Mallotus_villosus-21"
2,21,"Marine finfishes not identified","Finfishes",100139,0.478592115870793,1950,"Marine_finfishes_not_identified-21"
2,21,"Marine fishes not identified","Marine fishes nei",100039,3553.50525565452,1950,"Marine_fishes_not_identified-21"
2,21,"Marine groundfishes not identified","Groundfishes",100239,1.14772360904557,1950,"Marine_groundfishes_not_identified-21"
2,21,"Miscellaneous aquatic invertebrates","Aquatic invertebrates",100077,0.211743574289004,1950,"Miscellaneous_aquatic_invertebrates-21"
2,21,"Miscellaneous marine crustaceans","Marine crabs, shrimps, lobsters nei",100047,477.900615108977,1950,"Miscellaneous_marine_crustaceans-21"
2,21,"Mollusca","Clams, seasnails, squids, octopuses",190195,1358.59224614968,1950,"Mollusca-21"
2,21,"Molva dypterygia","Blue ling",601383,0.000554835618502693,1950,"Molva_dypterygia-21"
2,21,"Myoxocephalus","Grubbies and sculpins",500717,3.87635373872349,1950,"Myoxocephalus-21"
2,21,"Pandalus","Seabed shrimps",590093,1178.60238627232,1950,"Pandalus-21"
2,21,"Pandalus borealis","Northern prawn",690269,117.698018125378,1950,"Pandalus_borealis-21"
2,21,"Pleuronectidae","Righteye flounders",400440,39.9292293785806,1950,"Pleuronectidae-21"
2,21,"Pleuronectiformes","Flatfishes",300061,5.15321771592148,1950,"Pleuronectiformes-21"
2,21,"Rajidae","Stingrays",400019,3.71168074876186,1950,"Rajidae-21"
2,21,"Reinhardtius hippoglossoides","Greenland halibut",600516,1224.62084950869,1950,"Reinhardtius_hippoglossoides-21"
2,21,"Salmo salar","Atlantic salmon",600236,182.254923611131,1950,"Salmo_salar-21"
2,21,"Salvelinus","Chars",501410,457.022055590977,1950,"Salvelinus-21"
2,21,"Salvelinus alpinus alpinus","Arctic char",600247,78.6764808381582,1950,"Salvelinus_alpinus_alpinus-21"
2,21,"Scorpaeniformes","Scorpionfishes, flatheads",300059,82.6020609163508,1950,"Scorpaeniformes-21"
2,21,"Scyphozoa","True jellyfishes",290013,0.0671689406350271,1950,"Scyphozoa-21"
2,21,"Sebastes","Redfishes",501135,522.697935346151,1950,"Sebastes-21"
2,21,"Sebastes mentella","Beaked redfish",600505,55.9533601610183,1950,"Sebastes_mentella-21"
2,21,"Strongylocentrotus","Sickle-arched sea urchins",590158,164.698677138324,1950,"Strongylocentrotus-21"
2,21,"Strongylocentrotus droebachiensis","Green sea urchin",690494,86.5111794757057,1950,"Strongylocentrotus_droebachiensis-21"
2,21,"Teuthida","Squids",390002,0.259892572540169,1950,"Teuthida-21"
2,NA,"Coregonus","Whitefishes",506253,2.95629983710384e-05,1950,"Coregonus-NA"
2,NA,"Coregonus autumnalis","Arctic cisco",602669,2.82642438357955e-06,1950,"Coregonus_autumnalis-NA"
2,NA,"Coregonus nasus","Broad whitefish",602674,0.000518792529301608,1950,"Coregonus_nasus-NA"
2,NA,"Coregonus sardinella","Sardine cisco",602678,1.76705706350981e-08,1950,"Coregonus_sardinella-NA"
2,NA,"Cottidae","Sculpins",400277,6.95248367824129e-07,1950,"Cottidae-NA"
2,NA,"Marine fishes not identified","Marine fishes nei",100039,1.3604244994085e-05,1950,"Marine_fishes_not_identified-NA"
2,NA,"Myoxocephalus quadricornis","Fourhorn sculpin",604122,4.67011031326879e-08,1950,"Myoxocephalus_quadricornis-NA"
2,NA,"Platichthys stellatus","Starry flounder",604249,2.14907573392339e-08,1950,"Platichthys_stellatus-NA"
2,NA,"Salvelinus alpinus alpinus","Arctic char",600247,0.00190316439479978,1950,"Salvelinus_alpinus_alpinus-NA"
2,NA,"Salvelinus malma malma","Dolly varden",602691,3.93101584755306e-06,1950,"Salvelinus_malma_malma-NA"
2,NA,"Stenodus leucichthys","Sheefish",602692,0.000401094318944342,1950,"Stenodus_leucichthys-NA"
3,18,"Boreogadus saida","Polar cod",600319,0.0195430904906449,1950,"Boreogadus_saida-18"
3,18,"Clupea pallasii pallasii","Pacific herring",601520,4.46055223483,1950,"Clupea_pallasii_pallasii-18"
3,18,"Coregonus","Whitefishes",506253,0.526972853675353,1950,"Coregonus-18"
3,18,"Coregonus autumnalis","Arctic cisco",602669,0.0490529603898063,1950,"Coregonus_autumnalis-18"
3,18,"Coregonus laurettae","Bering cisco",646941,0.000556425167499468,1950,"Coregonus_laurettae-18"
3,18,"Coregonus nasus","Broad whitefish",602674,27.8777685733958,1950,"Coregonus_nasus-18"
3,18,"Coregonus sardinella","Sardine cisco",602678,0.00246898222839275,1950,"Coregonus_sardinella-18"
3,18,"Cottidae","Sculpins",400277,0.0285264260021393,1950,"Cottidae-18"
3,18,"Eleginus gracilis","Saffron cod",600315,0.0871250727272663,1950,"Eleginus_gracilis-18"
3,18,"Gadidae","Cods, haddocks",400183,5.021787383713,1950,"Gadidae-18"
3,18,"Gadus ogac","Greenland cod",600309,0.00053864490518734,1950,"Gadus_ogac-18"
3,18,"Marine fishes not identified","Marine fishes nei",100039,0.00689193991991883,1950,"Marine_fishes_not_identified-18"
3,18,"Myoxocephalus quadricornis","Fourhorn sculpin",604122,0.00150593271541863,1950,"Myoxocephalus_quadricornis-18"
3,18,"Oncorhynchus","Salmons, trouts",502724,0.00017383791211711,1950,"Oncorhynchus-18"
3,18,"Oncorhynchus gorbuscha","Pink salmon",600240,0.0791073164360477,1950,"Oncorhynchus_gorbuscha-18"
3,18,"Osmeridae","Smelts",400080,0.0447482760073506,1950,"Osmeridae-18"
3,18,"Platichthys stellatus","Starry flounder",604249,0.000281456801493957,1950,"Platichthys_stellatus-18"
3,18,"Salvelinus alpinus alpinus","Arctic char",600247,189.126372372754,1950,"Salvelinus_alpinus_alpinus-18"
3,18,"Salvelinus malma malma","Dolly varden",602691,0.0736753049509679,1950,"Salvelinus_malma_malma-18"
3,18,"Stenodus leucichthys","Sheefish",602692,4.24484702492833,1950,"Stenodus_leucichthys-18"
4,18,"Anarhichadidae","Wolffishes, wolfeels",400396,0.114415770657745,1950,"Anarhichadidae-18"
4,18,"Anarhichas","Wolffishes",505897,2.762168300634,1950,"Anarhichas-18"
4,18,"Anarhichas denticulatus","Northern wolffish",603810,0.0399129894129848,1950,"Anarhichas_denticulatus-18"
4,18,"Boreogadus saida","Polar cod",600319,3.70246336159142,1950,"Boreogadus_saida-18"
4,18,"Clupea harengus","Atlantic herring",600024,0.164594339791055,1950,"Clupea_harengus-18"
4,18,"Clupea pallasii pallasii","Pacific herring",601520,152.611166863004,1950,"Clupea_pallasii_pallasii-18"
4,18,"Coregonus","Whitefishes",506253,0.0093060288246104,1950,"Coregonus-18"
4,18,"Coregonus autumnalis","Arctic cisco",602669,1948.69519386741,1950,"Coregonus_autumnalis-18"
4,18,"Coregonus muksun","Muksun",612547,1285.44717763233,1950,"Coregonus_muksun-18"
4,18,"Coregonus nasus","Broad whitefish",602674,1404.17595329919,1950,"Coregonus_nasus-18"
4,18,"Coregonus sardinella","Sardine cisco",602678,5368.70249868823,1950,"Coregonus_sardinella-18"
4,18,"Cottidae","Sculpins",400277,0.000283156190795098,1950,"Cottidae-18"
4,18,"Cyprinidae","Carps, barbels, other cyprinids",400122,8.29690501436981e-05,1950,"Cyprinidae-18"
4,18,"Eleginus gracilis","Saffron cod",600315,0.000372027486530278,1950,"Eleginus_gracilis-18"
4,18,"Eleginus nawaga","Navaga",600314,1.54545677606653,1950,"Eleginus_nawaga-18"
4,18,"Gadidae","Cods, haddocks",400183,0.0846841494861706,1950,"Gadidae-18"
4,18,"Gadiformes","Cods",300044,2.0856818660392,1950,"Gadiformes-18"
4,18,"Gadus morhua","Atlantic cod",600069,0.942382704238945,1950,"Gadus_morhua-18"
4,18,"Gadus ogac","Greenland cod",600309,8.48370690672049e-06,1950,"Gadus_ogac-18"
4,18,"Limanda limanda","Common dab",600695,0.0651353286926179,1950,"Limanda_limanda-18"
4,18,"Lycodes","Eelpouts",501486,0.000368667049805593,1950,"Lycodes-18"
