rgn_id,ohi_rgn_name,year,mean_cat,ico_status,n_spp
9,East Greenland,2e3,0.14306,85.694,36
9,East Greenland,2001,0.14306,85.694,36
9,East Greenland,2002,0.14306,85.694,36
9,East Greenland,2003,0.14306,85.694,36
9,East Greenland,2004,0.14306,85.694,36
9,East Greenland,2005,0.14861,85.139,36
9,East Greenland,2006,0.15139,84.861,36
9,East Greenland,2007,0.15139,84.861,36
9,East Greenland,2008,0.125,87.5,36
9,East Greenland,2009,0.125,87.5,36
9,East Greenland,2010,0.125,87.5,36
9,East Greenland,2011,0.125,87.5,36
9,East Greenland,2012,0.125,87.5,36
9,East Greenland,2013,0.125,87.5,36
9,East Greenland,2014,0.125,87.5,36
9,East Greenland,2015,0.13611,86.38900000000001,36
9,East Greenland,2016,0.13611,86.38900000000001,36
9,East Greenland,2017,0.13611,86.38900000000001,36
