"","rgn_id","rgn_mean_cat","rgn_mean_trend","status"
"1","1",0.0643279547032031,-0.177048507857548,0.914229393729062
"2","10",0.0849633733520835,-0.0521842353734902,0.886715502197222
"3","2",0.0599104546235988,-0.148868038002676,0.920119393835202
"4","3",0.0686250734338467,-0.246419682706102,0.908499902088204
"5","4",0.0797154150360898,-0.138380090624082,0.89371277995188
"6","5",0.10736177482095,-0.0457559717635665,0.856850966905399
"7","6",0.0843862097562746,-0.0867142675434803,0.8874850536583
"8","7",0.09385713672988,-0.0641229435236322,0.874857151026827
"9","8",0.0619281638830871,-0.0409422005235457,0.917429114822551
"10","9",0.0828471233483691,-0.0706204045400341,0.889537168868841
