am_sid,rgn_id,rgn_name,sciname
URM-2-547,1,Alaska,Pseudopallene circularis
URM-2-686,1,Alaska,Boreonymphon robustum
W-Msc-140152,1,Alaska,Tonicella rubra
ITS-Mam-622021,1,Alaska,Histriophoca fasciata
ITS-175141,1,Alaska,Bucephala clangula
ITS-175170,1,Alaska,Melanitta perspicillata
SLB-40185,1,Alaska,Fratercula corniculata
ITS-176832,1,Alaska,Larus canus
ITS-560740,1,Alaska,Larus armenicus
ITS-174717,1,Alaska,Phalacrocorax auritus
ITS-174725,1,Alaska,Phalacrocorax pelagicus
SLB-56010,1,Alaska,Urticina crassicornis
W-Msc-139178,1,Alaska,Clione limacina
W-Msc-138709,1,Alaska,Aeolidia papillosa
ITS-89606,1,Alaska,Balanus crenatus
W-Pol-129959,1,Alaska,Cirratulus cirratus
URM-Cn-10261,1,Alaska,Aurelia aurita
W-Msc-140480,1,Alaska,Mytilus edulis
W-Msc-140103,1,Alaska,Hiatella arctica
W-Msc-140187,1,Alaska,Lepeta caeca
W-Msc-139478,1,Alaska,Cylichna occulta
W-Msc-141987,1,Alaska,Portlandia arctica
W-Msc-140467,1,Alaska,Modiolus modiolus
URM-2-3369,1,Alaska,Molgula complanata
URM-2-3818,1,Alaska,Dendrodoa grossularia
URM-2-3968,1,Alaska,Polycarpa pomaria
URM-2-4049,1,Alaska,Styela coriacea
URM-2-3,1,Alaska,Achelia alaskensis
W-Hyd-117606,1,Alaska,Halecium tenellum
ITS-85272,1,Alaska,Calanus finmarchicus
URM-2-2983,1,Alaska,Aplidium glabrum
URM-2-3928,1,Alaska,Polycarpa fibrosa
W-Pol-130248,1,Alaska,Lumbrineris latreilli
W-Pol-129876,1,Alaska,Capitella capitata
W-Oph-125064,1,Alaska,Amphipholis squamata
W-Msc-138969,1,Alaska,Admete viridula
W-Hyd-117870,1,Alaska,Abietinaria abietina
W-Hyd-117970,1,Alaska,Modeeria rotunda
ITS-95432,1,Alaska,Aeginina longicornis
W-Msc-157006,1,Alaska,Yoldia myalis
URM-2-1980,1,Alaska,Ciona intestinalis
W-Sca-150534,1,Alaska,Antalis entalis
W-Ase-123915,1,Alaska,Ctenodiscus crispatus
ITS-551570,1,Alaska,Farfantepenaeus aztecus
ITS-96166,1,Alaska,Pasiphaea multidentata
W-Hyd-117702,1,Alaska,Lafoea dumosa
W-Pol-162819,1,Alaska,Typosyllis hyalina
W-Pol-131544,1,Alaska,Thelepus setosus
W-Msc-141636,1,Alaska,Cuthona viridis
ITS-96028,1,Alaska,Sicyonia brevirostris
W-Hyd-117588,1,Alaska,Halecium delicatulum
ITS-551574,1,Alaska,Farfantepenaeus duorarum
W-Hyd-117267,1,Alaska,Solmundella bitentaculata
W-Hyd-117263,1,Alaska,Aegina citrea
ITS-175187,1,Alaska,Mergus serrator
ITS-175153,1,Alaska,Polysticta stelleri
ITS-177032,1,Alaska,Fratercula cirrhata
ITS-176814,1,Alaska,Larus glaucescens
W-Msc-140692,1,Alaska,Chlamys islandica
W-Pol-130305,1,Alaska,Maldane sarsi
W-Hyd-135417,1,Alaska,Chelophyes appendiculata
SLB-65022,1,Alaska,Lensia campanella
W-Hyd-135423,1,Alaska,Eudoxoides mitra
SLB-65045,1,Alaska,Sulculeolaria turgida
W-Hyd-135455,1,Alaska,Amphicaryon ernesti
W-Hyd-135403,1,Alaska,Abylopsis tetragona
W-Msc-156974,1,Alaska,Portlandia intermedia
W-Sca-196377,1,Alaska,Antalis occidentalis
ITS-95668,1,Alaska,Metapenaeopsis goodei
ITS-96126,1,Alaska,Meningodora mollis
W-Pol-129784,1,Alaska,Amphicteis gunneri
ITS-93340,1,Alaska,Ampelisca aequicornis
W-Msc-140584,1,Alaska,Ennucula tenuis
URM-2-837,1,Alaska,Nymphon macronyx
URM-2-802,1,Alaska,Nymphon hirtipes
W-Prl-101160,1,Alaska,Priapulus caudatus
ITS-96209,1,Alaska,Bathypalaemonella serratipalma
ITS-95948,1,Alaska,Sergia robusta
ITS-684695,1,Alaska,Sergia tenuiremis
ITS-96051,1,Alaska,Hemipenaeus carpenteri
ITS-96086,1,Alaska,Benthesicymus brasiliensis
ITS-96093,1,Alaska,Benthonectes filipes
ITS-96097,1,Alaska,Gennadas bouvieri
ITS-96099,1,Alaska,Gennadas capensis
ITS-96109,1,Alaska,Hymenodora glacialis
ITS-96116,1,Alaska,Acanthephyra brevirostris
ITS-96137,1,Alaska,Systellaspis braueri
ITS-96148,1,Alaska,Notostomus elegans
ITS-96149,1,Alaska,Notostomus gibbosus
ITS-96165,1,Alaska,Pasiphaea tarda
W-Pol-130467,1,Alaska,Nothria conchylega
URM-2-11,1,Alaska,Achelia borealis
W-Pol-130344,1,Alaska,Aglaophamus malmgreni
W-Pol-130113,1,Alaska,Pherusa plumosa
URM-Cn-10098,1,Alaska,Atolla wyvillei
ITS-96114,1,Alaska,Acanthephyra purpurea
ITS-96115,1,Alaska,Acanthephyra pelagica
ITS-96119,1,Alaska,Acanthephyra acutifrons
ITS-96129,1,Alaska,Meningodora vesca
ITS-96154,1,Alaska,Nematocarcinus ensifer
ITS-95966,1,Alaska,Pleoticus robustus
ITS-95979,1,Alaska,Hymenopenaeus debilis
ITS-96085,1,Alaska,Benthesicymus bartletti
URM-2-1930,1,Alaska,Ascidia obliqua
URM-2-1939,1,Alaska,Ascidia prunum
W-Cha-105416,1,Alaska,Eukrohnia hamata
ITS-176890,1,Alaska,Sterna paradisaea
ITS-176978,1,Alaska,Uria lomvia
ITS-176794,1,Alaska,Stercorarius longicaudus
ITS-176824,1,Alaska,Larus argentatus
ITS-176866,1,Alaska,Xema sabini
W-Msc-254378,1,Alaska,Pyrulofusus deformis
SLB-77318,1,Alaska,Archidoris montereyensis
W-Msc-156923,1,Alaska,Nuculana tenuisulcata
W-Msc-141997,1,Alaska,Yoldiella frigida
W-Msc-138818,1,Alaska,Astarte borealis
URM-2-919,1,Alaska,Nymphon sluiteri
W-Nem-148201,1,Alaska,Tetrastemma bicolor
URM-2-908,1,Alaska,Nymphon schimkewitschi
URM-2-2291,1,Alaska,Diplosoma listerianum
URM-2-3511,1,Alaska,Boltenia ovifera
W-Cha-105445,1,Alaska,Pseudosagitta maxima
ITS-174628,1,Alaska,Oceanodroma leucorhoa
ITS-176888,1,Alaska,Sterna hirundo
ITS-660062,1,Alaska,Stercorarius maccormicki
SLB-138599,1,Alaska,Plocamium cartilagineum
SLB-154005,1,Alaska,Grateloupia doryphora
W-Msc-456584,1,Alaska,Discurria insessa
W-Msc-367955,1,Alaska,Diodora aspera
W-Msc-534197,1,Alaska,Calliostoma annulatum
W-Msc-580412,1,Alaska,Calliostoma ligatum
W-Msc-240767,1,Alaska,Ceratostoma foliatum
W-Msc-160060,1,Alaska,Cylichna gouldii
W-Msc-536817,1,Alaska,Diaulula sandiegensis
W-Msc-139765,1,Alaska,Eubranchus exiguus
W-Msc-367883,1,Alaska,Hermissenda crassicornis
W-Msc-157005,1,Alaska,Yoldia limatula
W-Msc-157007,1,Alaska,Yoldia sapotilla
W-Msc-367837,1,Alaska,Mytilus californianus
URM-2-912,1,Alaska,Nymphon serratum
W-Msc-159928,1,Alaska,Amicula vestita
W-Oct-156103,1,Alaska,Gersemia rubiformis
SLB-153747,1,Alaska,Pikea californica
W-Msc-140275,1,Alaska,Erginus rubellus
W-Msc-141905,1,Alaska,Velutina velutina
W-Msc-153380,1,Alaska,Cuthona gymnota
W-Msc-156225,1,Alaska,Macoma loveni
W-Msc-236786,1,Alaska,Cyrtodaria kurriana
W-Msc-140151,1,Alaska,Tonicella marmorea
W-Msc-138823,1,Alaska,Astarte montagui
W-Msc-156819,1,Alaska,Clinocardium ciliatum
W-Msc-246814,1,Alaska,Yoldia seminuda
ITS-176959,1,Alaska,Chlidonias niger
W-Pol-131415,1,Alaska,Syllis armillaris
SLB-88154,1,Alaska,Golfingia margaritacea
SLB-141400,1,Alaska,Iridaea cordata
SLB-145429,1,Alaska,Macrocystis pyrifera
W-Msc-138820,1,Alaska,Astarte crenata
W-Msc-138797,1,Alaska,Bathyarca glacialis
URM-2-4081,1,Alaska,Styela squamosa
W-Msc-139525,1,Alaska,Dendronotus robustus
SLB-68888,1,Alaska,Limatula hyperborea
SLB-94177,1,Alaska,Leucosolenia lamarckii
URM-2-1124,1,Alaska,Pallenopsis longiseta
W-Msc-139436,1,Alaska,Cardiomya striata
W-Bra-104052,1,Alaska,Cryptopora gnomon
W-Msc-138796,1,Alaska,Bathyarca frielei
ITS-96118,1,Alaska,Acanthephyra armata
ITS-96160,1,Alaska,Stylodactylus licinus
URM-2-3711,1,Alaska,Bathystyeloides enderbyanus
W-Iso-118625,1,Alaska,Eurycope ratmanovi
URM-2-504,1,Alaska,Oropallene polaris
W-Msc-139445,1,Alaska,Cuspidaria glacialis
ITS-Mam-180483,1,Alaska,Delphinapterus leucas
ITS-Mam-180521,1,Alaska,Eschrichtius robustus
ITS-Mam-180524,1,Alaska,Balaenoptera acutorostrata
ITS-Mam-180527,1,Alaska,Balaenoptera physalus
ITS-Mam-180533,1,Alaska,Balaena mysticetus
Fis-22850,1,Alaska,Boreogadus saida
Fis-136946,1,Alaska,Arctozenus risso
Fis-153539,1,Alaska,Clupea pallasii pallasii
Fis-153593,1,Alaska,Salvelinus alpinus alpinus
Fis-22900,1,Alaska,Mallotus villosus
Fis-22915,1,Alaska,Oncorhynchus gorbuscha
W-Por-134257,1,Alaska,Pseudosuberites montiniger
ITS-Mam-180469,1,Alaska,Orcinus orca
ITS-Mam-180473,1,Alaska,Phocoena phocoena
ITS-Mam-180530,1,Alaska,Megaptera novaeangliae
Fis-22874,1,Alaska,Eleginus gracilis
ITS-96968,1,Alaska,Pandalus goniurus
ITS-96967,1,Alaska,Pandalus borealis
ITS-Mam-180528,1,Alaska,Balaenoptera musculus
ITS-Mam-180488,1,Alaska,Physeter macrocephalus
Fis-22920,1,Alaska,Oncorhynchus nerka
ITS-Mam-180496,1,Alaska,Berardius bairdii
ITS-Mam-180526,1,Alaska,Balaenoptera borealis
ITS-Mam-180649,1,Alaska,Phoca vitulina
ITS-Mam-180444,1,Alaska,Lagenorhynchus obliquidens
ITS-Mam-180480,1,Alaska,Phocoenoides dalli
ITS-Mam-612591,1,Alaska,Eubalaena japonica
Fis-117866,1,Alaska,Lycodes luetkenii
ITS-96083,1,Alaska,Bentheogennema intermedia
Fis-47484,1,Alaska,Cottunculus sadko
Fis-152512,1,Alaska,Lycodes marisalbi
Fis-24651,1,Alaska,Gymnelus viridis
Fis-29395,1,Alaska,Gadus ogac
Fis-29628,1,Alaska,Anarrhichthys ocellatus
Fis-48198,1,Alaska,Coregonus autumnalis
Fis-24809,1,Alaska,Myoxocephalus quadricornis
Fis-57414,1,Alaska,Lycodes eudipleurostictus
Fis-24653,1,Alaska,Gymnocanthus tricuspis
Fis-29627,1,Alaska,Anarhichas orientalis
Fis-30039,1,Alaska,Gasterosteus aculeatus
Fis-22964,1,Alaska,Theragra chalcogramma
Fis-22718,2,Nunavut,Benthosema glaciale
Fis-29361,2,Nunavut,Cyclopterus lumpus
Fis-23237,2,Nunavut,Reinhardtius hippoglossoides
Fis-22922,2,Nunavut,Osmerus mordax
Fis-149739,2,Nunavut,Sebastes norvegicus
Fis-23165,2,Nunavut,Lampanyctus crocodilus
Fis-23641,2,Nunavut,Molva dypterygia
Fis-23486,2,Nunavut,Enchelyopus cimbrius
Fis-30336,2,Nunavut,Myxine glutinosa
Fis-15353,2,Nunavut,Bathyraja spinicauda
Fis-23914,2,Nunavut,Argentina silus
Fis-29877,2,Nunavut,Cryptopsaras couesii
Fis-30264,2,Nunavut,Lycodes pallidus
Fis-30265,2,Nunavut,Lycodes reticulatus
Fis-49057,2,Nunavut,Leptoclinus maculatus
Fis-29624,2,Nunavut,Anarhichas denticulatus
Fis-29626,2,Nunavut,Anarhichas minor
Fis-30763,2,Nunavut,Artediellus atlanticus
Fis-24436,2,Nunavut,Artediellus uncinatus
Fis-24702,2,Nunavut,Icelus bicornis
Fis-30828,2,Nunavut,Icelus spatula
Fis-62940,2,Nunavut,Triglops pingelii
Fis-24406,2,Nunavut,Leptagonus decagonus
Fis-24441,2,Nunavut,Aspidophoroides monopterygius
Fis-30812,2,Nunavut,Eumicrotremus derjugini
Fis-30835,2,Nunavut,Liparis gibbus
Fis-30842,2,Nunavut,Liparis tunicatus
Fis-24675,2,Nunavut,Hippoglossoides platessoides
Fis-58175,2,Nunavut,Lycodes esmarkii
Fis-23653,2,Nunavut,Myoxocephalus scorpius
Fis-24756,2,Nunavut,Lycodes polaris
Fis-30266,2,Nunavut,Lycodes rossi
Fis-24610,2,Nunavut,Eumesogrammus praecisus
Fis-24751,2,Nunavut,Lumpenus fabricii
Fis-24753,2,Nunavut,Anisarchus medius
Fis-30764,2,Nunavut,Artediellus scaber
Fis-24810,2,Nunavut,Myoxocephalus scorpioides
Fis-30902,2,Nunavut,Triglops murrayi
Fis-30771,2,Nunavut,Aspidophoroides olrikii
Fis-24612,2,Nunavut,Eumicrotremus spinosus
Fis-30268,2,Nunavut,Lycodes turneri
Fis-24741,2,Nunavut,Liopsetta glacialis
Fis-24923,2,Nunavut,Pungitius pungitius
Fis-144084,2,Nunavut,Stichaeus punctatus punctatus
Fis-24892,2,Nunavut,Pholis fasciata
Fis-24893,2,Nunavut,Pholis gunnellus
Fis-29619,2,Nunavut,Ammodytes dubius
Fis-63912,2,Nunavut,Lethenteron camtschaticum
Fis-29858,2,Nunavut,Coregonus sardinella
Fis-24332,2,Nunavut,Salvelinus malma
Fis-30261,2,Nunavut,Lycodes jugoricus
Fis-29728,2,Nunavut,Bathymaster signatus
