rgn_id,rgn_mean_cat,rgn_mean_trend,status
1,0.06432795470320314,-0.008852425392877382,0.9142293937290624
2,0.05991045462359882,-0.007443401900133789,0.9201193938352016
3,0.06862507343384673,-0.012320984135305088,0.9084999020882044
4,0.0797154150360898,-0.0069190045312041,0.8937127799518803
5,0.10736177482095041,-0.0022877985881783235,0.8568509669053994
6,0.08438620975627463,-0.004335713377174013,0.8874850536583004
7,0.09385713672987996,-0.0032061471761816117,0.8748571510268267
8,0.061928163883087084,-0.002047110026177287,0.9174291148225505
9,0.08284712334836905,-0.003531020227001707,0.8895371688688413
10,0.08496337335208345,-0.0026092117686745096,0.8867155021972221
