rgn_id,rgn_mean_cat,rgn_mean_trend,status
1,0.06432795470320314,-0.17704850785754764,0.9142293937290624
2,0.05991045462359882,-0.14886803800267578,0.9201193938352016
3,0.06862507343384673,-0.24641968270610173,0.9084999020882044
4,0.0797154150360898,-0.13838009062408202,0.8937127799518803
5,0.10736177482095041,-0.04575597176356647,0.8568509669053994
6,0.08438620975627463,-0.08671426754348026,0.8874850536583004
7,0.09385713672987996,-0.06412294352363224,0.8748571510268267
8,0.061928163883087084,-0.04094220052354573,0.9174291148225505
9,0.08284712334836905,-0.07062040454003414,0.8895371688688413
10,0.08496337335208345,-0.052184235373490186,0.8867155021972221
