"","rgn_id","stock_id","year","bbmsy"
"1",1,"Coregonus_autumnalis-18",2001,0.320488534136054
"2",1,"Coregonus_autumnalis-18",2002,0.32651797535039
"3",1,"Coregonus_autumnalis-18",2003,0.333395041027814
"4",1,"Coregonus_autumnalis-18",2004,0.341156760209505
"5",1,"Coregonus_autumnalis-18",2005,0.349968652053759
"6",1,"Coregonus_autumnalis-18",2006,0.359786862966062
"7",1,"Coregonus_autumnalis-18",2007,0.369604280732302
"8",1,"Coregonus_autumnalis-18",2008,0.379654007054847
"9",1,"Coregonus_autumnalis-18",2009,0.390010507981265
"10",1,"Coregonus_autumnalis-18",2010,0.400359246189814
"11",1,"Coregonus_autumnalis-18",2011,0.411300717889662
"12",1,"Coregonus_autumnalis-18",2012,0.422742117095216
"13",1,"Coregonus_autumnalis-18",2013,0.434831450647083
"14",1,"Coregonus_autumnalis-18",2014,0.447191776568183
"15",1,"Coregonus_nasus-18",2001,0.353712283567695
"16",1,"Coregonus_nasus-18",2002,0.354005926970333
"17",1,"Coregonus_nasus-18",2003,0.354958051352968
"18",1,"Coregonus_nasus-18",2004,0.356881477519317
"19",1,"Coregonus_nasus-18",2005,0.35992752030748
"20",1,"Coregonus_nasus-18",2006,0.363852011637248
"21",1,"Coregonus_nasus-18",2007,0.36925666811081
"22",1,"Coregonus_nasus-18",2008,0.376179928702852
"23",1,"Coregonus_nasus-18",2009,0.384292348668452
"24",1,"Coregonus_nasus-18",2010,0.392709880026777
"25",1,"Coregonus_nasus-18",2011,0.402361883292599
"26",1,"Coregonus_nasus-18",2012,0.412384520856742
"27",1,"Coregonus_nasus-18",2013,0.423048058661654
"28",1,"Coregonus_nasus-18",2014,0.433972064348937
"29",1,"Coregonus_muksun-18",2001,0.283446003329642
"30",1,"Coregonus_muksun-18",2002,0.28656663426006
"31",1,"Coregonus_muksun-18",2003,0.290556527146443
"32",1,"Coregonus_muksun-18",2004,0.295818422221604
"33",1,"Coregonus_muksun-18",2005,0.302132717732135
"34",1,"Coregonus_muksun-18",2006,0.309214362855126
"35",1,"Coregonus_muksun-18",2007,0.317783345399386
"36",1,"Coregonus_muksun-18",2008,0.328170509013726
"37",1,"Coregonus_muksun-18",2009,0.340281970341366
"38",1,"Coregonus_muksun-18",2010,0.354372202290776
"39",1,"Coregonus_muksun-18",2011,0.370277936531259
"40",1,"Coregonus_muksun-18",2012,0.387051431750454
"41",1,"Coregonus_muksun-18",2013,0.40464881690703
"42",1,"Coregonus_muksun-18",2014,0.422981453198093
"43",2,"Brosme_brosme-21",2001,0.747
"44",2,"Brosme_brosme-21",2002,0.649
"45",2,"Brosme_brosme-21",2003,0.458
"46",2,"Brosme_brosme-21",2004,0.583
"47",2,"Brosme_brosme-21",2005,0.542
"48",2,"Brosme_brosme-21",2006,0.537
"49",2,"Brosme_brosme-21",2007,0.655
"50",2,"Brosme_brosme-21",2008,0.259056121269943
"51",2,"Brosme_brosme-21",2009,0.2750107372598
"52",2,"Brosme_brosme-21",2010,0.292901043594628
"53",2,"Brosme_brosme-21",2011,0.31336566506304
"54",2,"Brosme_brosme-21",2012,0.336488575040107
"55",2,"Brosme_brosme-21",2013,0.362233663748108
"56",2,"Brosme_brosme-21",2014,0.390073366101942
"57",2,"Cyclopterus_lumpus-21",2001,1.71070805028791
"58",2,"Cyclopterus_lumpus-21",2002,1.66537012778576
"59",2,"Cyclopterus_lumpus-21",2003,1.60488104911758
"60",2,"Cyclopterus_lumpus-21",2004,1.52499403344559
"61",2,"Cyclopterus_lumpus-21",2005,1.40700818499694
"62",2,"Cyclopterus_lumpus-21",2006,1.27125609068167
"63",2,"Cyclopterus_lumpus-21",2007,1.13131831723017
"64",2,"Cyclopterus_lumpus-21",2008,1.00668053063031
"65",2,"Cyclopterus_lumpus-21",2009,0.907449410144459
"66",2,"Cyclopterus_lumpus-21",2010,0.873609447353629
"67",2,"Cyclopterus_lumpus-21",2011,0.899267419769942
"68",2,"Cyclopterus_lumpus-21",2012,0.909016831884557
"69",2,"Gadus_morhua-21",2001,0.12046
"70",2,"Gadus_morhua-21",2002,0.110463333333333
"71",2,"Gadus_morhua-21",2003,0.0887566666666667
"72",2,"Gadus_morhua-21",2004,0.07469
"73",2,"Gadus_morhua-21",2005,0.0629766666666667
"74",2,"Gadus_morhua-21",2006,0.0654
"75",2,"Gadus_morhua-21",2007,0.0890666666666667
"76",2,"Gadus_morhua-21",2008,0.113133333333333
"77",2,"Gadus_morhua-21",2009,0.113633333333333
"78",2,"Gadus_morhua-21",2010,0.119533333333333
"79",2,"Squalus_acanthias-21",2001,0.551148923905025
"80",2,"Squalus_acanthias-21",2002,0.481060555838583
"81",2,"Squalus_acanthias-21",2003,0.440788560593444
"82",2,"Squalus_acanthias-21",2004,0.427062235655295
"83",2,"Squalus_acanthias-21",2005,0.429121729967861
"84",2,"Squalus_acanthias-21",2006,0.437920100030514
"85",2,"Squalus_acanthias-21",2007,0.45280064210011
"86",2,"Squalus_acanthias-21",2008,0.464428108596889
"87",2,"Squalus_acanthias-21",2009,0.471041862443384
"88",2,"Squalus_acanthias-21",2010,0.473703541365129
"89",2,"Squalus_acanthias-21",2011,0.469690322195964
"90",2,"Squalus_acanthias-21",2012,0.455460698328156
"91",2,"Squalus_acanthias-21",2013,0.439247016814832
"92",2,"Squalus_acanthias-21",2014,0.418653255430935
"93",2,"Gadus_ogac-21",2006,0.126739047940233
"94",2,"Gadus_ogac-21",2007,0.132744161137337
"95",2,"Gadus_ogac-21",2008,0.142528945870256
