"rgn_id","tonnes","year"
"1",0,2003
"2",9819.57638476783,2003
"3",0,2003
"4",94445.7082007197,2003
"5",50021.0891350122,2003
"6",349619.509840723,2003
"7",28281.7192658607,2003
"8",131106.875327904,2003
"9",108019.674773934,2003
"10",134884.54310322,2003
