"rgn_id","tonnes","year"
"1",0,2004
"2",9240.39313943485,2004
"3",0,2004
"4",72664.4618457397,2004
"5",69545.0376143049,2004
"6",310236.03091989,2004
"7",16874.0969202928,2004
"8",120763.73720541,2004
"9",107253.104982852,2004
"10",111713.568995102,2004
