"rgn_id","year","fis_catch"
1,2005,907.470513079353
1,2006,907.470513079353
1,2007,907.470513079353
1,2008,907.470513079353
1,2009,907.470513079353
1,2010,907.470513079353
1,2011,907.470513079353
1,2012,907.470513079353
1,2013,907.470513079353
1,2014,907.470513079353
2,2005,22454.5472934858
2,2006,22454.5472934858
2,2007,22454.5472934858
2,2008,22454.5472934858
2,2009,22454.5472934858
2,2010,22454.5472934858
2,2011,22454.5472934858
2,2012,22454.5472934858
2,2013,22454.5472934858
2,2014,22454.5472934858
3,2005,231.652496109951
3,2006,231.652496109951
3,2007,231.652496109951
3,2008,231.652496109951
3,2009,231.652496109951
3,2010,231.652496109951
3,2011,231.652496109951
3,2012,231.652496109951
3,2013,231.652496109951
3,2014,231.652496109951
4,2005,708047.971450815
4,2006,708047.971450815
4,2007,708047.971450815
4,2008,708047.971450815
4,2009,708047.971450815
4,2010,708047.971450815
4,2011,708047.971450815
4,2012,708047.971450815
4,2013,708047.971450815
4,2014,708047.971450815
5,2005,493377.298439406
5,2006,493377.298439406
5,2007,493377.298439406
5,2008,493377.298439406
5,2009,493377.298439406
5,2010,493377.298439406
5,2011,493377.298439406
5,2012,493377.298439406
5,2013,493377.298439406
5,2014,493377.298439406
6,2005,2180004.75223633
6,2006,2180004.75223633
6,2007,2180004.75223633
6,2008,2180004.75223633
6,2009,2180004.75223633
6,2010,2180004.75223633
6,2011,2180004.75223633
6,2012,2180004.75223633
6,2013,2180004.75223633
6,2014,2180004.75223633
7,2005,8065.71564918125
7,2006,8065.71564918125
7,2007,8065.71564918125
7,2008,8065.71564918125
7,2009,8065.71564918125
7,2010,8065.71564918125
7,2011,8065.71564918125
7,2012,8065.71564918125
7,2013,8065.71564918125
7,2014,8065.71564918125
8,2005,375621.308014376
8,2006,375621.308014376
8,2007,375621.308014376
8,2008,375621.308014376
8,2009,375621.308014376
8,2010,375621.308014376
8,2011,375621.308014376
8,2012,375621.308014376
8,2013,375621.308014376
8,2014,375621.308014376
9,2005,298882.939553169
9,2006,298882.939553169
9,2007,298882.939553169
9,2008,298882.939553169
9,2009,298882.939553169
9,2010,298882.939553169
9,2011,298882.939553169
9,2012,298882.939553169
9,2013,298882.939553169
9,2014,298882.939553169
