"rgn_id","year","fis_catch"
1,2005,595.412530752763
1,2006,596.16700157723
1,2007,431.916086110296
1,2008,444.42736321775
1,2009,455.184317399659
1,2010,445.635393622352
2,2005,12672.6312081443
2,2006,12519.5148566859
2,2007,11692.2840783962
2,2008,10635.7712523731
2,2009,11620.8683246566
2,2010,11066.2189289705
3,2005,100.378961622665
3,2006,101.444596440835
3,2007,102.912080367869
3,2008,104.452092698142
3,2009,105.90528229591
3,2010,107.423721332336
4,2005,218529.783743134
4,2006,226408.068335483
4,2007,194864.00317303
4,2008,179018.183396286
4,2009,202794.434631055
4,2010,243556.247678104
5,2005,200916.66549165
5,2006,154081.535270313
5,2007,145732.924578773
5,2008,144708.902752919
5,2009,277465.057543417
5,2010,276601.854005018
6,2005,1201561.49380416
6,2006,1146765.05809588
6,2007,1280266.91516504
6,2008,1332185.60031724
6,2009,1560118.10016946
6,2010,1579246.25006564
7,2005,5342.4969911772
7,2006,3155.36928274108
7,2007,9101.62781482899
7,2008,31975.1011292546
7,2009,8353.25374970019
7,2010,7857.29322848083
8,2005,230831.88887563
8,2006,239973.714987665
8,2007,226900.690086423
8,2008,234962.716064618
8,2009,205975.301557871
8,2010,204284.007093158
9,2005,149836.162249821
9,2006,172105.551821842
9,2007,139005.804006204
9,2008,112241.530051215
9,2009,115105.85979544
9,2010,184259.860940836
