"rgn_id","w_fis"
1,1
2,1
3,1
4,0.915431416490462
5,1
6,0.770547734253745
7,1
8,1
9,1
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
