"rgn_id","w_fis"
1,1
2,1
3,1
4,0.958619405455459
5,1
6,0.766995920647439
7,1
8,1
9,1
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
