rgn_id,trend_lm,year,ico_trend
1,0.0038181818181817293,2010,0.01909
2,0.004199999999999923,2010,0.021
3,0.007348484848484764,2010,0.03674
4,0.00363618181818182,2010,0.01818
5,7.353600283273459e-17,2010,0
8,0.009613999999999914,2010,0.04807
9,0.0014710303030302714,2010,0.00736
NA,-0.012727272727272594,2010,-0.06364
1,0.004363636363636271,2011,0.02182
2,0.005195636363636288,2011,0.02598
3,0.009090909090908978,2011,0.04545
4,0.004155636363636383,2011,0.02078
5,7.353600283273459e-17,2011,0
8,0.01123927272727264,2011,0.0562
9,0.0020770909090908926,2011,0.01039
NA,-0.014545454545454393,2011,-0.07273
1,0.0045454545454542295,2012,0.02273
2,0.005758303030302644,2012,0.02879
3,0.01007575757575691,2012,0.05038
4,0.004328787878787683,2012,0.02164
5,7.353600283273942e-17,2012,0
8,0.011927939393938708,2012,0.05964
9,0.0025100606060604242,2012,0.01255
NA,-0.015151515151514257,2012,-0.07576
1,0.004363636363636302,2013,0.02182
2,0.005887999999999897,2013,0.02944
3,0.01030303030303021,2013,0.05152
4,0.00415563636363636,2013,0.02078
5,7.353600283273459e-17,2013,0
8,0.011679999999999947,2013,0.0584
9,0.0027699393939393667,2013,0.01385
NA,-0.014545454545454395,2013,-0.07273
1,0.003818181818181861,2014,0.01909
2,0.005584727272727459,2014,0.02792
3,0.00977272727272764,2014,0.04886
4,0.0036361818181819354,2014,0.01818
5,7.35360028327298e-17,2014,0
8,0.010495454545454903,2014,0.05248
9,0.002856727272727406,2014,0.01428
NA,-0.012727272727273023,2014,-0.06364
1,0.0029090909090908577,2015,0.01455
2,0.004848484848484772,2015,0.02424
3,0.008484848484848427,2015,0.04242
4,0.0027704242424242682,2015,0.01385
5,7.353600283273942e-17,2015,0
8,0.008374303030302978,2015,0.04187
9,0.0027704242424242192,2015,0.01385
NA,-0.009696969696969591,2015,-0.04848
1,-0.0027272727272726976,2016,-0.01364
2,-3.8999999999999127e-4,2016,-0.00195
3,0.0047727272727273425,2016,0.02386
4,-0.0015583636363635594,2016,-0.00779
5,7.353600283273459e-17,2016,0
8,0.0027272727272728225,2016,0.01364
9,-0.0015583636363635832,2016,-0.00779
NA,-0.005454545454545498,2016,-0.02727
