"rgn_id","habitat","prop_score"
1,"coral",0.042
1,"seaice_shoreline",0.777
1,"saltmarsh",0.125
1,"seagrass",0.048
2,"saltmarsh",0
2,"seaice_shoreline",1
2,"seagrass",0
3,"saltmarsh",0
3,"seaice_shoreline",1
3,"seagrass",0
4,"seagrass",0
4,"seaice_shoreline",1
5,"seaice_shoreline",1
6,"seaice_shoreline",1
7,"seaice_shoreline",1
8,"seaice_shoreline",1
9,"seaice_shoreline",1
1,"mangrove",0.008
