region_id,score,dimension,goal
1,45.8,status,AO_fis
2,78.5,status,AO_fis
3,47.5,status,AO_fis
4,35.1,status,AO_fis
6,99.6,status,AO_fis
8,96.7,status,AO_fis
9,43.3,status,AO_fis
1,-0.0031,trend,AO_fis
2,-0.0076,trend,AO_fis
3,-0.0049,trend,AO_fis
4,-0.0659,trend,AO_fis
6,-0.001,trend,AO_fis
8,-0.0021,trend,AO_fis
9,-0.0697,trend,AO_fis
