rgn_id,stock_id_taxonkey,year,mean_catch
3,Eleginus_gracilis-18_600315,2001,0.042521042
3,Boreogadus_saida-18_600319,2001,0.010184787
3,Clupea_pallasii_pallasii-18_601520,2001,1.935820778
3,Coregonus_autumnalis-18_602669,2001,0.020451776
3,Coregonus_nasus-18_602674,2001,12.61216733
3,Coregonus_sardinella-18_602678,2001,0.001233891
3,Salvelinus_malma_malma-18_602691,2001,0.02942289
3,Stenodus_leucichthys-18_602692,2001,1.881170832
3,Myoxocephalus_quadricornis-18_604122,2001,0.000688512
3,Platichthys_stellatus-18_604249,2001,0.000119965
3,Coregonus_laurettae-18_646941,2001,0.000334658
4,Marine_fishes_not_identified-18_100039,2001,909.7825063
4,Miscellaneous_marine_crustaceans-18_100047,2001,0.001388072
4,Miscellaneous_aquatic_invertebrates-18_100077,2001,0.000613719
4,Marine_finfishes_not_identified-18_100139,2001,1685.0475
4,Elasmobranchii-18_200004,2001,0.000150654
4,Chondrichtyes-18_200538,2001,7.27E-07
4,Bivalvia-18_290004,2001,0.000136353
4,Gadiformes-18_300044,2001,0.023909754
4,Perciformes-18_300060,2001,0.000185946
4,Pleuronectiformes-18_300061,2001,0.043548262
4,Salmonidae-18_400076,2001,5.21E-05
4,Gadidae-18_400183,2001,0.040506732
4,Cottidae-18_400277,2001,0.000133817
4,Anarhichadidae-18_400396,2001,0.000846743
4,Pleuronectidae-18_400440,2001,0.000176361
4,Mytilidae-18_490054,2001,0.006041769
4,Anarhichas-18_505897,2001,0.023973031
4,Coregonus-18_506253,2001,0.002711871
4,Clupea_harengus-18_600024,2001,0.311362983
4,Gadus_morhua-18_600069,2001,0.192632262
4,Salmo_salar-18_600236,2001,0.039570427
4,Salvelinus_alpinus_alpinus-18_600247,2001,0.679996398
4,Mallotus_villosus-18_600252,2001,91.29259092
4,Osmerus_mordax_mordax-18_600253,2001,255.8718945
4,Gadus_ogac-18_600309,2001,3.28E-05
4,Eleginus_nawaga-18_600314,2001,0.020886944
4,Eleginus_gracilis-18_600315,2001,0.000151942
4,Boreogadus_saida-18_600319,2001,0.902500394
4,Limanda_limanda-18_600695,2001,0.036405911
4,Melanogrammus_aeglefinus-18_601381,2001,1.18491041
4,Clupea_pallasii_pallasii-18_601520,2001,0.096565613
4,Coregonus_autumnalis-18_602669,2001,1066.88785
4,Coregonus_nasus-18_602674,2001,810.9571647
4,Coregonus_sardinella-18_602678,2001,3314.167268
4,Stenodus_leucichthys-18_602692,2001,0.001329102
4,Myoxocephalus_quadricornis-18_604122,2001,4.11E-07
4,Coregonus_muksun-18_612547,2001,1042.139968
4,Mytilus_edulis-18_690053,2001,0.9755725
4,Meganyctiphanes_norvegica-18_690274,2001,0.000151461
