comname,sciname,ico_gl,ico_rgn_id,iucn_sid,subpop,cat_2016,cat,cat_txt,cat_score,year,cat_2016_score
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CD,Lower Risk/conservation dependent,0.3,1997.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CD,Lower Risk/conservation dependent,0.3,1998.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CD,Lower Risk/conservation dependent,0.3,1999.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CD,Lower Risk/conservation dependent,0.3,2e3,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CD,Lower Risk/conservation dependent,0.3,2001.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CD,Lower Risk/conservation dependent,0.3,2002.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CD,Lower Risk/conservation dependent,0.3,2003.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CD,Lower Risk/conservation dependent,0.3,2004.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CD,Lower Risk/conservation dependent,0.3,2005.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CD,Lower Risk/conservation dependent,0.3,2006.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,CD,Lower Risk/conservation dependent,0.3,2007.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,LC,Least Concern,0.0,2008.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,LC,Least Concern,0.0,2009.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,LC,Least Concern,0.0,2010.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,LC,Least Concern,0.0,2011.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,LC,Least Concern,0.0,2012.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,LC,Least Concern,0.0,2013.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,LC,Least Concern,0.0,2014.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,LC,Least Concern,0.0,2015.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,LC,Least Concern,0.0,2016.0,0.0
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,CD,Lower Risk/conservation dependent,0.3,1965.0,NA
