iucn_sid,iucn_rgn_name,presence,origin,distribution_code,rgn_id,ohi_rgn_name,comname,sciname,ico_gl,ico_rgn_id,subpop,cat
22694629,Svalbard and Jan Mayen,Extant,Native,Native,5,Svalbard,Arctic tern,Sterna paradisaea,FALSE,5,NA,LC
22694629,Svalbard and Jan Mayen,Extant,Native,Native,7,Jan Mayen,Arctic tern,Sterna paradisaea,FALSE,7,NA,LC
8010,Greenland,Extant,Native,Native,8,West Greenland,Bearded seal,Erignathus barbatus,FALSE,8,NA,LC
8010,Greenland,Extant,Native,Native,9,East Greenland,Bearded seal,Erignathus barbatus,FALSE,9,NA,LC
8010,Norway,Extant,Native,Native,6,Norway,Bearded seal,Erignathus barbatus,FALSE,6,NA,LC
8010,Svalbard and Jan Mayen,Extant,Native,Native,5,Svalbard,Bearded seal,Erignathus barbatus,FALSE,5,NA,LC
8010,Svalbard and Jan Mayen,Extant,Native,Native,7,Jan Mayen,Bearded seal,Erignathus barbatus,FALSE,7,NA,LC
8010,United States,Extant,Native,Native,1,Alaska,Bearded seal,Erignathus barbatus,FALSE,1,NA,LC
8010,Greenland,Extant,Native,Native,8,West Greenland,Bearded seal,Erignathus barbatus,FALSE,8,NA,LC
8010,Greenland,Extant,Native,Native,9,East Greenland,Bearded seal,Erignathus barbatus,FALSE,9,NA,LC
8010,Norway,Extant,Native,Native,6,Norway,Bearded seal,Erignathus barbatus,FALSE,6,NA,LC
8010,Svalbard and Jan Mayen,Extant,Native,Native,5,Svalbard,Bearded seal,Erignathus barbatus,FALSE,5,NA,LC
8010,Svalbard and Jan Mayen,Extant,Native,Native,7,Jan Mayen,Bearded seal,Erignathus barbatus,FALSE,7,NA,LC
8010,United States,Extant,Native,Native,1,Alaska,Bearded seal,Erignathus barbatus,FALSE,1,NA,LC
8010,Greenland,Extant,Native,Native,8,West Greenland,Bearded seal,Erignathus barbatus,FALSE,8,NA,LC
8010,Greenland,Extant,Native,Native,9,East Greenland,Bearded seal,Erignathus barbatus,FALSE,9,NA,LC
8010,Norway,Extant,Native,Native,6,Norway,Bearded seal,Erignathus barbatus,FALSE,6,NA,LC
8010,Svalbard and Jan Mayen,Extant,Native,Native,5,Svalbard,Bearded seal,Erignathus barbatus,FALSE,5,NA,LC
8010,Svalbard and Jan Mayen,Extant,Native,Native,7,Jan Mayen,Bearded seal,Erignathus barbatus,FALSE,7,NA,LC
8010,United States,Extant,Native,Native,1,Alaska,Bearded seal,Erignathus barbatus,FALSE,1,NA,LC
8010,Greenland,Extant,Native,Native,8,West Greenland,Bearded seal,Erignathus barbatus,FALSE,8,NA,LC
8010,Greenland,Extant,Native,Native,9,East Greenland,Bearded seal,Erignathus barbatus,FALSE,9,NA,LC
8010,Norway,Extant,Native,Native,6,Norway,Bearded seal,Erignathus barbatus,FALSE,6,NA,LC
8010,Svalbard and Jan Mayen,Extant,Native,Native,5,Svalbard,Bearded seal,Erignathus barbatus,FALSE,5,NA,LC
8010,Svalbard and Jan Mayen,Extant,Native,Native,7,Jan Mayen,Bearded seal,Erignathus barbatus,FALSE,7,NA,LC
8010,United States,Extant,Native,Native,1,Alaska,Bearded seal,Erignathus barbatus,FALSE,1,NA,LC
8010,Greenland,Extant,Native,Native,8,West Greenland,Bearded seal,Erignathus barbatus,FALSE,8,NA,LC
8010,Greenland,Extant,Native,Native,9,East Greenland,Bearded seal,Erignathus barbatus,FALSE,9,NA,LC
8010,Norway,Extant,Native,Native,6,Norway,Bearded seal,Erignathus barbatus,FALSE,6,NA,LC
8010,Svalbard and Jan Mayen,Extant,Native,Native,5,Svalbard,Bearded seal,Erignathus barbatus,FALSE,5,NA,LC
8010,Svalbard and Jan Mayen,Extant,Native,Native,7,Jan Mayen,Bearded seal,Erignathus barbatus,FALSE,7,NA,LC
8010,United States,Extant,Native,Native,1,Alaska,Bearded seal,Erignathus barbatus,FALSE,1,NA,LC
8010,Greenland,Extant,Native,Native,8,West Greenland,Bearded seal,Erignathus barbatus,FALSE,8,NA,LC
8010,Greenland,Extant,Native,Native,9,East Greenland,Bearded seal,Erignathus barbatus,FALSE,9,NA,LC
8010,Norway,Extant,Native,Native,6,Norway,Bearded seal,Erignathus barbatus,FALSE,6,NA,LC
8010,Svalbard and Jan Mayen,Extant,Native,Native,5,Svalbard,Bearded seal,Erignathus barbatus,FALSE,5,NA,LC
8010,Svalbard and Jan Mayen,Extant,Native,Native,7,Jan Mayen,Bearded seal,Erignathus barbatus,FALSE,7,NA,LC
8010,United States,Extant,Native,Native,1,Alaska,Bearded seal,Erignathus barbatus,FALSE,1,NA,LC
6335,Canada,Extant,Native,Native,2,Nunavut,Beluga Whale,Delphinapterus leucas,FALSE,2,NA,NT
6335,Canada,Extant,Native,Native,3,Beaufort,Beluga Whale,Delphinapterus leucas,FALSE,3,NA,NT
6335,Greenland,Extant,Native,Native,8,West Greenland,Beluga whale,Delphinapterus leucas,FALSE,8,NA,NT
6335,Greenland,Extant,Native,Native,9,East Greenland,Beluga whale,Delphinapterus leucas,FALSE,9,NA,NT
6335,United States,Extant,Native,Native,1,Alaska,Beluga Whale,Delphinapterus leucas,FALSE,1,NA,NT
61442,United States,Extant,Native,Native,1,Alaska,Beluga Whale,Delphinapterus leucas,FALSE,1,Cook Inlet subpopulation,CR
6335,Canada,Extant,Native,Native,2,Nunavut,Beluga Whale,Delphinapterus leucas,FALSE,2,NA,NT
6335,Canada,Extant,Native,Native,3,Beaufort,Beluga Whale,Delphinapterus leucas,FALSE,3,NA,NT
6335,Greenland,Extant,Native,Native,8,West Greenland,Beluga whale,Delphinapterus leucas,FALSE,8,NA,NT
6335,Greenland,Extant,Native,Native,9,East Greenland,Beluga whale,Delphinapterus leucas,FALSE,9,NA,NT
6335,United States,Extant,Native,Native,1,Alaska,Beluga Whale,Delphinapterus leucas,FALSE,1,NA,NT
61442,United States,Extant,Native,Native,1,Alaska,Beluga Whale,Delphinapterus leucas,FALSE,1,Cook Inlet subpopulation,CR
6335,Canada,Extant,Native,Native,2,Nunavut,Beluga Whale,Delphinapterus leucas,FALSE,2,NA,NT
