"ID","pressure_score"
1,0.0466712114071229
2,0.0585950496618817
3,0.0159790563043186
4,0.0858820561550634
5,NA
6,0.498715071998182
7,NA
8,0.248456202668842
9,0.150944331906162
10,0.382451079566755
