"","ID","chemical_pollution_2013_scaled"
"1",1,0.0176268323591364
"2",2,0.0193441298483504
"3",3,0.00340325259537878
"4",4,0.0241101075769924
"5",5,0.0877377190146661
"6",6,0.246070056592381
"7",7,0.0683474737287157
"8",8,0.0805771129152089
"9",9,0.0624960779209637
"10",10,0.147080131991154
