"","stock_id","common","bbmsy_q2.5","bbmsy_q25","bbmsy_q50","bbmsy_q75","bbmsy_q97.5","bbmsy_sd","bbmsy_mean","year","model"
"1","Coregonus_muksun-18","Muksun",2,2,2,2,2,0,2,1950,"COM-SIR"
"2","Coregonus_muksun-18","Muksun",1.84441765034986,1.94274090569649,1.9601556284841,1.9712290690747,1.97976896305957,0.0330688027397106,1.94875272564946,1951,"COM-SIR"
"3","Coregonus_muksun-18","Muksun",1.71774667470019,1.89605032468254,1.92784257253231,1.94673919295532,1.96093659966976,0.0582476822478928,1.90729095911243,1952,"COM-SIR"
"4","Coregonus_muksun-18","Muksun",1.61109391246581,1.85888776746274,1.90026997631418,1.92754460731619,1.94429713281225,0.0798886598863227,1.87265740053447,1953,"COM-SIR"
"5","Coregonus_muksun-18","Muksun",1.51890681309322,1.82143750338165,1.87342295879719,1.91200073714821,1.9300752140527,0.0996256421005335,1.84315034569629,1954,"COM-SIR"
"6","Coregonus_muksun-18","Muksun",1.43754001813089,1.78793805634288,1.85464290260561,1.90068413569664,1.92151071571025,0.118148832107897,1.8176723807875,1955,"COM-SIR"
"7","Coregonus_muksun-18","Muksun",1.36450762849315,1.75799388751525,1.8376313658915,1.89123257166458,1.9170706665036,0.135761076635237,1.79546560660155,1956,"COM-SIR"
"8","Coregonus_muksun-18","Muksun",1.29806382745288,1.73445541732993,1.82326234112874,1.88053213569053,1.91505307705312,0.152596537382331,1.77598112019754,1957,"COM-SIR"
"9","Coregonus_muksun-18","Muksun",1.23695377234582,1.71664624038618,1.81105228641715,1.87143029922684,1.91435728530654,0.168714909541856,1.75880673484997,1958,"COM-SIR"
"10","Coregonus_muksun-18","Muksun",1.18025854394499,1.69053417049334,1.80361221714919,1.86584914032272,1.91654986099137,0.184143751683097,1.74362365330654,1959,"COM-SIR"
"11","Coregonus_muksun-18","Muksun",1.12729481598568,1.67511350647284,1.79458133720177,1.86187015896909,1.91768428386049,0.198897789209256,1.73017899620184,1960,"COM-SIR"
"12","Coregonus_muksun-18","Muksun",1.07754777352472,1.66134652151253,1.78658638448721,1.862276367998,1.91946116723472,0.21298765813727,1.71826765906033,1961,"COM-SIR"
"13","Coregonus_muksun-18","Muksun",1.03062500023773,1.65279789246784,1.78098993176264,1.8621272940625,1.92154295454895,0.22642373099114,1.7077199612168,1962,"COM-SIR"
"14","Coregonus_muksun-18","Muksun",0.986224026423401,1.6450300445505,1.77017937506294,1.86659206990919,1.923550381882,0.239217647380304,1.69839303840428,1963,"COM-SIR"
"15","Coregonus_muksun-18","Muksun",0.944109035627695,1.63893260697434,1.7671240357515,1.86560854510273,1.9254704319772,0.251382785823985,1.69016472904188,1964,"COM-SIR"
"16","Coregonus_muksun-18","Muksun",0.904093870746024,1.63737588799876,1.76709228580885,1.86776574217821,1.92776194950873,0.262934262618191,1.68292915988044,1965,"COM-SIR"
"17","Coregonus_muksun-18","Muksun",0.866029473518463,1.6419745337919,1.76343935996307,1.86760469791383,1.929707545227,0.273888734110501,1.67659351035343,1966,"COM-SIR"
"18","Coregonus_muksun-18","Muksun",0.829794508650419,1.6430635206191,1.76549782879475,1.87060554475931,1.931380338903,0.284264130899171,1.6710756062519,1967,"COM-SIR"
"19","Coregonus_muksun-18","Muksun",0.795288317264905,1.6374095451568,1.77178723362407,1.87370355074583,1.93309716953647,0.294079381991741,1.66630210401158,1968,"COM-SIR"
"20","Coregonus_muksun-18","Muksun",0.762425600958762,1.62958583650616,1.77453003883135,1.87555842348331,1.9347689819052,0.303354153695873,1.66220710019741,1969,"COM-SIR"
"21","Coregonus_muksun-18","Muksun",0.731132408599201,1.6226562750719,1.77666980397753,1.87766307498598,1.93634172724738,0.312108612625792,1.65873105024822,1970,"COM-SIR"
"22","Coregonus_muksun-18","Muksun",0.702547642932822,1.61657288376129,1.78117248382442,1.87996068717266,1.93781700259397,0.320363215323153,1.65581991443912,1971,"COM-SIR"
"23","Coregonus_muksun-18","Muksun",0.683393546381737,1.61128954447766,1.77955906526433,1.88240165183705,1.93920850466498,0.328138524078023,1.65342447251443,1972,"COM-SIR"
"24","Coregonus_muksun-18","Muksun",0.665553855807235,1.60676193529658,1.77791948523851,1.88494300281338,1.94052263404012,0.335455047418179,1.65149976488871,1973,"COM-SIR"
"25","Coregonus_muksun-18","Muksun",0.648942910822542,1.60294747169907,1.77673490512167,1.88754784032584,1.9417653862683,0.342333103387135,1.65000462991889,1974,"COM-SIR"
"26","Coregonus_muksun-18","Muksun",0.633483318694826,1.59980525099237,1.77597372653865,1.89018476058396,1.94294229780464,0.348792703685661,1.64890131500062,1975,"COM-SIR"
"27","Coregonus_muksun-18","Muksun",0.619104792741177,1.59729599929895,1.7756053722535,1.89282730102607,1.94419109647562,0.354853456807178,1.64815514514491,1976,"COM-SIR"
"28","Coregonus_muksun-18","Muksun",0.605595228622894,1.59538202067974,1.77788883740261,1.89545340914953,1.94539520431432,0.360534488377275,1.64773423693941,1977,"COM-SIR"
"29","Coregonus_muksun-18","Muksun",0.592034296390966,1.594027148093,1.77796560241707,1.89792872520486,1.94654356105577,0.365854376988542,1.64760924887324,1978,"COM-SIR"
"30","Coregonus_muksun-18","Muksun",0.570955994444164,1.59319669598537,1.77833780645163,1.89986995476279,1.94763788547176,0.370831103901707,1.64775316123945,1979,"COM-SIR"
"31","Coregonus_muksun-18","Muksun",0.550808783956996,1.59285741437853,1.77898179630686,1.90170134750816,1.94868035722188,0.37548201506637,1.64814108046208,1980,"COM-SIR"
