"cell_id","ocean","fao_id","rgn_name","proportionArea","rgn_id","area"
144,"Arctic",18,NA,NA,NA,NA
145,"Arctic",18,NA,NA,NA,NA
146,"Arctic",18,NA,NA,NA,NA
147,"Arctic",18,NA,NA,NA,NA
148,"Arctic",18,NA,NA,NA,NA
149,"Arctic",18,NA,NA,NA,NA
150,"Arctic",18,NA,NA,NA,NA
151,"Arctic",18,NA,NA,NA,NA
152,"Arctic",18,NA,NA,NA,NA
153,"Arctic",18,NA,NA,NA,NA
154,"Arctic",18,NA,NA,NA,NA
155,"Arctic",18,NA,NA,NA,NA
156,"Arctic",18,NA,NA,NA,NA
157,"Arctic",18,NA,NA,NA,NA
158,"Arctic",18,NA,NA,NA,NA
159,"Arctic",18,NA,NA,NA,NA
160,"Arctic",18,NA,NA,NA,NA
161,"Arctic",18,NA,NA,NA,NA
162,"Arctic",18,NA,NA,NA,NA
163,"Arctic",18,NA,NA,NA,NA
164,"Arctic",18,NA,NA,NA,NA
165,"Arctic",18,NA,NA,NA,NA
166,"Arctic",18,NA,NA,NA,NA
167,"Arctic",18,NA,NA,NA,NA
168,"Arctic",18,NA,NA,NA,NA
169,"Arctic",18,NA,NA,NA,NA
170,"Arctic",18,NA,NA,NA,NA
171,"Arctic",18,NA,NA,NA,NA
172,"Arctic",18,NA,NA,NA,NA
173,"Arctic",18,NA,NA,NA,NA
174,"Arctic",18,NA,NA,NA,NA
175,"Arctic",18,NA,NA,NA,NA
176,"Arctic",18,NA,NA,NA,NA
177,"Arctic",18,NA,NA,NA,NA
178,"Arctic",18,NA,NA,NA,NA
179,"Arctic",18,NA,NA,NA,NA
180,"Arctic",18,NA,NA,NA,NA
181,"Arctic",18,NA,NA,NA,NA
182,"Arctic",18,NA,NA,NA,NA
183,"Arctic",18,NA,NA,NA,NA
184,"Arctic",18,NA,NA,NA,NA
185,"Arctic",18,NA,NA,NA,NA
186,"Arctic",18,NA,NA,NA,NA
187,"Arctic",18,NA,NA,NA,NA
188,"Arctic",18,NA,NA,NA,NA
189,"Arctic",18,NA,NA,NA,NA
190,"Arctic",18,NA,NA,NA,NA
191,"Arctic",18,NA,NA,NA,NA
192,"Arctic",18,NA,NA,NA,NA
193,"Arctic",18,NA,NA,NA,NA
194,"Arctic",18,NA,NA,NA,NA
195,"Arctic",18,NA,NA,NA,NA
196,"Arctic",18,NA,NA,NA,NA
197,"Arctic",18,NA,NA,NA,NA
198,"Arctic",18,NA,NA,NA,NA
199,"Arctic",18,NA,NA,NA,NA
200,"Arctic",18,NA,NA,NA,NA
201,"Arctic",18,NA,NA,NA,NA
202,"Arctic",18,NA,NA,NA,NA
203,"Arctic",18,NA,NA,NA,NA
204,"Arctic",18,NA,NA,NA,NA
205,"Arctic",18,NA,NA,NA,NA
206,"Arctic",18,NA,NA,NA,NA
207,"Arctic",18,NA,NA,NA,NA
208,"Arctic",18,NA,NA,NA,NA
209,"Arctic",18,NA,NA,NA,NA
210,"Arctic",18,NA,NA,NA,NA
211,"Arctic",18,NA,NA,NA,NA
212,"Arctic",18,NA,NA,NA,NA
213,"Arctic",18,NA,NA,NA,NA
214,"Arctic",18,NA,NA,NA,NA
215,"Arctic",18,NA,NA,NA,NA
216,"Arctic",18,NA,NA,NA,NA
217,"Arctic",18,NA,NA,NA,NA
218,"Arctic",18,NA,NA,NA,NA
219,"Arctic",18,NA,NA,NA,NA
220,"Arctic",18,NA,NA,NA,NA
221,"Arctic",18,NA,NA,NA,NA
222,"Arctic",18,NA,NA,NA,NA
223,"Arctic",18,NA,NA,NA,NA
224,"Arctic",18,NA,NA,NA,NA
225,"Arctic",18,NA,NA,NA,NA
226,"Arctic",18,NA,NA,NA,NA
227,"Arctic",18,NA,NA,NA,NA
228,"Arctic",18,NA,NA,NA,NA
229,"Arctic",18,NA,NA,NA,NA
230,"Arctic",18,NA,NA,NA,NA
231,"Arctic",18,NA,NA,NA,NA
232,"Arctic",18,NA,NA,NA,NA
233,"Arctic",18,NA,NA,NA,NA
234,"Arctic",18,NA,NA,NA,NA
235,"Arctic",18,NA,NA,NA,NA
236,"Arctic",18,NA,NA,NA,NA
237,"Arctic",18,NA,NA,NA,NA
238,"Arctic",18,NA,NA,NA,NA
239,"Arctic",18,NA,NA,NA,NA
240,"Arctic",18,NA,NA,NA,NA
241,"Arctic",18,NA,NA,NA,NA
242,"Arctic",18,NA,NA,NA,NA
243,"Arctic",18,NA,NA,NA,NA
244,"Arctic",18,NA,NA,NA,NA
245,"Arctic",18,NA,NA,NA,NA
246,"Arctic",18,NA,NA,NA,NA
247,"Arctic",18,NA,NA,NA,NA
248,"Arctic",18,NA,NA,NA,NA
249,"Arctic",18,NA,NA,NA,NA
250,"Arctic",18,NA,NA,NA,NA
251,"Arctic",18,NA,NA,NA,NA
252,"Arctic",18,NA,NA,NA,NA
253,"Arctic",18,NA,NA,NA,NA
254,"Arctic",18,NA,NA,NA,NA
255,"Arctic",18,NA,NA,NA,NA
256,"Arctic",18,NA,NA,NA,NA
257,"Arctic",18,NA,NA,NA,NA
258,"Arctic",18,NA,NA,NA,NA
259,"Arctic",18,NA,NA,NA,NA
260,"Arctic",18,NA,NA,NA,NA
261,"Arctic",18,NA,NA,NA,NA
262,"Arctic",18,NA,NA,NA,NA
263,"Arctic",18,NA,NA,NA,NA
264,"Arctic",18,NA,NA,NA,NA
265,"Arctic",18,NA,NA,NA,NA
266,"Arctic",18,NA,NA,NA,NA
267,"Arctic",18,NA,NA,NA,NA
268,"Arctic",18,NA,NA,NA,NA
269,"Arctic",18,NA,NA,NA,NA
270,"Arctic",18,NA,NA,NA,NA
271,"Arctic",18,NA,NA,NA,NA
272,"Arctic",18,NA,NA,NA,NA
273,"Arctic",18,NA,NA,NA,NA
274,"Arctic",18,NA,NA,NA,NA
275,"Arctic",18,NA,NA,NA,NA
276,"Arctic",18,NA,NA,NA,NA
277,"Arctic",18,NA,NA,NA,NA
278,"Arctic",18,NA,NA,NA,NA
279,"Arctic",18,NA,NA,NA,NA
280,"Arctic",18,NA,NA,NA,NA
498,"Arctic",18,NA,NA,NA,NA
499,"Arctic",18,NA,NA,NA,NA
500,"Arctic",18,NA,NA,NA,NA
501,"Arctic",18,NA,NA,NA,NA
502,"Arctic",18,NA,NA,NA,NA
503,"Arctic",18,NA,NA,NA,NA
504,"Arctic",18,NA,NA,NA,NA
505,"Arctic",18,NA,NA,NA,NA
506,"Arctic",18,NA,NA,NA,NA
507,"Arctic",18,NA,NA,NA,NA
